Country,City,LevelOfCrime,CrimeIncrIn3years,HomeBroken,MuggedOrRobbed,CarStolen,ThingsFromCarStolen,Attacked,Insulted,AttackCauseEGR,Drugs,VandalismAndTheft,ViolentCrimes,CorruptionAndBribery,SafetyDaylight,SafetyNight,Contributors,Update,cindex,sindex,latitude,longitude
Cameroon,,69.43,65.58,66.38,68.8,52.07,63.6,61.1,65,44.17,51.67,67.19,64.77,95.83,52.68,21.22,31,February 2020,64738,35262,4.612552,13.153581
Niger,,66.67,78.57,64.29,67.86,67.86,75,71.43,71.43,67.86,78.57,75,75,85.71,42.86,50,7,August 2016,69749,30251,17.735621,9.323843
Tajikistan,,56.25,62.5,53.12,46.88,31.25,62.5,59.38,59.38,50,56.25,46.88,46.88,96.88,65.62,25,8,May 2019,55884,44116,38.628173,70.815654
Myanmar,,46.86,66.65,51.3,41.23,38.11,41.65,42.93,39.47,36.54,56.41,45.93,37.8,73.26,72.48,46.86,44,February 2020,46619,53381,17.17505,95.999965
San Marino,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown 0,11765,88235,43.945862,12.458306
Austria,,20.65,55.56,22.6,19.8,15.68,20.54,22.03,27.6,17.32,34.4,29.82,19.2,29.07,87.08,71.59,552,March 2020,24524,75476,47.200034,13.199959
Kuwait,,30.98,57.14,23.3,28.75,28.02,39.24,38.26,46.32,37.41,35.4,33.98,28.2,56.75,80.12,64.21,144,March 2020,35375,64625,29.273396,47.497948
Rwanda,,20.03,39.76,33.61,20.79,13.45,37.79,15.67,16.67,7.86,21.53,31.69,20.79,29.17,87.77,73.4,40,February 2020,22806,77194,-1.964663,30.064436
French Polynesia,,68.75,58.33,41.67,50,41.67,54.17,45.83,45.83,29.17,54.17,54.17,33.33,37.5,70.83,66.67,6,March 2020,47917,52083,-18.624375,-144.64349
Aland Islands,,21.43,50,14.06,17.19,17.19,23.44,15.62,25,26.56,20.31,25,18.75,17.19,81.25,75,16,November 2019,22256,77744,60.216622,19.943864
Bahamas,,75.69,71.95,61.88,60.37,62.2,67.5,50.62,54.73,34.87,59.21,71.95,71.95,73.03,62.2,30,41,February 2020,63243,36757,24.773655,-78.000055
Bosnia And Herzegovina,,43.85,52.4,40.18,39.29,45.26,48.5,33.43,32.74,28.37,44.3,50.7,39.88,82.2,79.76,58.23,254,March 2020,42989,57011,44.305348,17.596147
Cuba,,26.6,48.85,35.89,30.14,28.01,35.15,23,29.81,13.73,20.1,37.05,22.51,50.48,84.68,72.1,57,February 2020,29279,70721,23.013134,-80.832875
Equatorial Guinea,,41.67,66.67,50,43.75,21.88,37.5,31.25,18.75,12.5,50,50,31.25,81.25,80.56,31.25,9,December 2019,41647,58353,1.613172,10.517036
Saint Lucia,,66.67,75,50,50,37.5,57.5,42.5,42.5,22.5,70,62.5,57.5,85,72.5,32.5,10,December 2019,55736,44264,13.825049,-60.975036
United States,,53.51,64.62,45.96,42.26,40.53,54.38,40.83,42.34,30.19,60.21,56.27,48.41,41.98,72.78,45.73,11557,March 2020,47647,52353,39.78373,-100.445882
Saint Helena,,25,50,0,0,0,25,0,25,0,0,0,0,0,100,100,1,September 2016,10294,89706,-15.968686,-5.712956
Sri Lanka,,39.44,47.79,44.38,37.09,33.38,38.64,34.75,39.33,28.6,50,45.2,36.98,68.12,78.27,55.52,232,February 2020,40517,59483,7878,80.703825
Serbia,,35.78,56.68,31.57,29.3,32.9,41.83,29.13,33.68,25.4,47.59,45.12,30.48,81.73,85.92,66.11,585,March 2020,37689,62311,44.153412,20.55144
Lebanon,,41.5,67.03,34.59,41.59,42.39,49.48,40.31,44.44,30.42,44.75,42.62,38.98,79.47,75.93,54.33,191,February 2020,44136,55864,33.875063,35.843409
Azerbaijan,,26.3,45.22,28.59,31.32,23.01,35.25,29.51,33.89,17.62,32.65,30.15,22.59,80.57,81.32,64.71,160,February 2020,31955,68045,40.393629,47.787251
Chad,,57.14,50,71.43,53.57,67.86,53.57,60.71,53.57,32.14,32.14,60.71,67.86,89.29,46.43,39.29,7,December 2019,57562,42438,15.613414,19.015617
Canada,,43.41,64.38,38.21,33.67,32.38,45.7,34,36.34,22.05,57.73,49.55,38.51,34.52,77.88,53,6154,March 2020,40376,59624,61.066692,-107.991707
Turkey,,41.14,61.45,38.38,37.34,28.26,39.14,39.69,40.82,26.78,36.79,39.5,33.39,57.68,76.03,51.36,1630,March 2020,39721,60279,38.959759,34.924965
Dominica,,56.94,72.22,51.47,52.78,37.5,61.11,52.94,48.61,26.39,70.83,54.17,48.61,76.39,65.28,34.72,18,July 2019,54344,45656,15.411314,-61.365362
El Salvador,,81.4,67.86,60.71,73.8,70.24,76.47,65.18,48.72,20.89,58.97,73.51,80.94,84.29,46.43,19.12,86,February 2020,68249,31751,13.800038,-88.914068
Panama,,49.54,69.93,47.47,45.83,35.98,52.07,39.47,35.08,21.14,40.98,48.97,48.01,72.5,76.47,49.55,133,February 2020,45884,54116,8.309607,-81.306625
Kosovo (Disputed Territory),,31.71,48.78,40.48,24.4,26.88,38.41,18.9,21.43,13.1,42.86,39.88,31.1,75.6,89.29,75,42,January 2020,32509,67491,39.78373,-100.445882
Congo,,76.67,70,70,75,63.33,75,70,61.67,50,48.33,73.33,71.67,91.67,38.33,16.67,15,October 2019,70295,29705,-0.726433,15.641916
France,,49.7,65.69,44.97,48.71,39.49,49.08,47.77,53.56,35.86,54.66,55.83,42.72,37.58,69.7,44.58,1389,March 2020,47691,52309,46.603354,1.888334
Turkmenistan,,39.24,45.39,42.18,39.84,32.89,40.71,37.06,48.44,45.59,48.53,45.12,31.5,81.94,75.9,64.84,19,February 2020,42128,57872,39.376381,59.392461
Philippines,,44.02,42.8,46.49,47.11,38.6,41.46,42.45,36.8,27.42,49.58,49.3,44.44,52.26,72.97,56.95,2465,March 2020,42403,57597,12.750349,122.73121
Saudi Arabia,,21.43,43.31,24,24.8,27.35,34.1,23.42,28.85,21.76,26.06,26.92,21.63,39.61,83.25,70.63,628,February 2020,26601,73399,25.624262,42.352833
Martinique,,75,100,87.5,62.5,75,87.5,75,62.5,62.5,87.5,87.5,87.5,25,50,12.5,2,July 2018,74265,25735,14.636828,-61.015736
Costa Rica,,63.34,75.68,57.77,62.92,51.87,64.35,46.4,30.07,15.83,66.49,66.84,63.52,69.11,68.12,31.08,150,February 2020,56569,43431,10.273563,-84.07391
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown 0,11765,88235,16.249007,-61.565044
Senegal,,37.5,69.23,50,34.09,43.18,50,29.55,40,20,27.5,45,25,70,75,54.17,13,November 2019,40405,59595,14.475061,-14.452961
Jamaica,,73.15,78.64,65.85,68.92,63.51,71.06,65.83,61.89,36.3,62.62,69.81,75.23,81.25,55.68,32.43,113,February 2020,66603,33397,18.185051,-77.394769
Ivory Coast,,56.25,50,39.47,54.17,44.74,56.94,48.61,40.79,32.89,46.05,55.26,56.58,88.16,67.11,27.63,19,March 2020,52216,47784,25.214924,55.171361
Japan,,17.92,42.03,18.71,17.58,15.65,18.12,19.84,23.79,22.53,20.75,20.87,18.39,26.84,81.87,76.84,682,March 2020,21185,78815,36.574844,139.239418
Israel,,27.96,53.72,33.51,20.7,29.28,34.53,26.04,31.21,24.4,30.7,35.94,22.44,41.8,84.18,70.21,528,February 2020,30221,69779,30.876027,35.00152
Iceland,,17.43,54.07,24.58,14.5,16.07,24.27,16.81,17.83,15.15,38.38,31.78,21.01,37.22,86.72,72.81,242,March 2020,23790,76210,64.984182,-18.105901
Dominican Republic,,71.37,74.06,56.86,65.02,51.24,64.28,53.48,40.81,24.51,59.51,66.02,70.83,84.07,54.91,28.78,219,February 2020,61242,38758,50.068293,14.420556
Marshall Islands,,25,50,75,0,0,75,0,25,0,25,25,0,75,100,100,1,January 2015,25000,75000,6.951874,170.99851
Montenegro,,39.17,70.69,38.51,34.76,30.87,42.02,30.54,36.15,31.85,54.93,47.43,38.01,72.22,77.62,63.01,78,February 2020,41462,58538,42.772849,19.240859
South Korea,,26.51,48.68,24.9,23.64,21.2,23.9,28.29,31.39,26.73,22.36,27.19,25.5,35.36,78.91,70.38,765,March 2020,27611,72389,36.558191,127.940856
Brazil,,80.36,78.54,55.85,77.48,70.21,72.3,57.39,42.4,24.95,72.16,74.72,81.12,85.32,47.36,18.75,3114,March 2020,68671,31329,-10.333333,-53.2
Czech Republic,,18.58,42.64,19.98,19.57,24.57,37.57,19.28,21.88,18.63,35.08,38.19,14.7,51.3,91.46,71.8,718,March 2020,25639,74361,49.8167,15.474954
Liberia,,86.18,86.18,80.23,81.42,81.74,82.61,77.85,76.25,76.25,86.25,82.61,84.24,85,17.13,15.94,22,February 2020,82712,17288,5.749972,-9.365852
Guam,,75,87.5,81.25,67.19,68.75,85.94,66.07,62.5,60,78.12,87.5,78.12,85.94,48.44,28.12,16,January 2020,73960,26040,13.444138,144.733626
North Macedonia,,34.77,61.8,39.58,33.29,23.46,41.1,33.43,35.17,33.47,42.6,43.5,30.17,83.01,87.15,64.64,182,February 2020,38418,61582,51.346583,8.284412
Venezuela,,95.51,92.43,77.69,91.84,88.57,88.31,81.58,64.34,36.09,74.75,88.74,94.29,95.77,19.05,4.33,505,February 2020,84562,15438,8.001871,-66.110932
Malaysia,,62.32,68.78,61.49,64.03,57.68,63.03,54.15,45.27,40.3,53.44,64.3,58.71,75.6,57.05,31.11,1343,February 2020,59152,40848,2.392376,112.847194
Georgia,,16.15,47.88,18.48,16.43,11,17.65,19.14,20.85,19.75,28.29,24.29,17.56,26.71,89.37,75.43,319,February 2020,20687,79313,41.680971,44.028738
Libya,,65.35,72.77,54.25,64.36,68.25,61.36,55.94,52.5,51.01,64.5,60.97,65.84,71.57,54.95,31.19,103,February 2020,61955,38045,26.823447,18.123672
Indonesia,,45.88,57.15,42.98,46.71,38.23,45.44,38.19,37.3,34.31,45.92,50.03,40.66,75.98,70.44,43.45,732,February 2020,45685,54315,-4.799336,114.563203
Denmark,,24.65,54.51,25.81,22.02,18.21,25.6,23.51,25.06,19.78,33.11,32.9,23.16,19.53,85.64,69.71,448,February 2020,25988,74012,55.670249,10.333328
Slovakia,,23.24,42.87,20.49,22.73,28.13,38.61,26.35,25.09,29.12,30.57,41.32,17.58,71.08,89.58,67.8,288,February 2020,29781,70219,48.741152,19.452865
Algeria,,51.25,58.96,48.18,50.68,48.76,55.41,46.12,43.56,23.93,63.36,56.76,44.43,75.9,66.02,38.6,178,February 2020,50893,49107,28.000027,2.999983
China,,27.21,47.29,30.07,29.2,27.74,32.77,28.31,32.53,24.66,29.32,35.82,26.69,57.03,74.79,63.9,1099,March 2020,32022,67978,25.49158,-98.981112
Jersey,,27.08,70.83,10.42,10.42,8.33,20.83,18.75,41.67,27.08,47.92,31.25,22.92,37.5,91.67,68.75,12,January 2020,27573,72427,49.212307,-2.1256
Nigeria,,68.23,59.23,62.18,68.2,61.14,65.49,60.15,55.22,44.24,64.13,68.75,71.86,85.19,52.26,31.2,241,March 2020,63942,36058,9.600036,7.999972
Macao,,17.86,41.67,26.04,21.88,9.38,17.71,21.88,21.88,12.5,30.43,25,20.83,59,89.58,71.88,25,January 2020,23548,76452,25.179467,121.562726
Saint Vincent And The Grenadines,,40.62,87.5,50,34.38,0,25,12.5,18.75,6.25,68.75,46.88,34.38,53.12,71.88,40.62,8,November 2019,38051,61949,12.90447,-61.276557
Malta,,34.74,70.32,37.14,32.37,26.58,36.43,35.34,40.85,27.43,47.2,42.44,32.52,64.88,77.04,59.72,215,February 2020,38880,61120,35.888599,14.447691
Swaziland,,37.5,75,54.17,33.33,20.83,50,33.33,25,16.67,54.17,45.83,45.83,79.17,83.33,42.86,7,February 2020,42332,57668,-26.562481,31.399132
Maldives,,58.68,60.93,54.45,55.68,38.27,44.75,52.91,57.33,33.33,69.59,59.62,53.3,69,57.84,39.02,81,February 2020,54608,45392,4.706435,73.328785
Mayotte,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown 0,11765,88235,-12.823048,45.152076
Malawi,,53.57,60.71,67.86,51.79,42.86,69.64,30.36,32.14,23.21,23.21,57.14,53.57,80.36,78.57,39.29,14,December 2019,49159,50841,-13.26872,33.930196
Paraguay,,60.32,65.71,46.52,59.83,38.26,56.4,41.69,19.68,9.57,45.65,50.02,58.02,82.78,67.33,36.56,52,February 2020,50071,49929,-23.316593,-58.169344
Vietnam,,44.96,60.18,50.92,50.61,43.73,48.68,38.87,37.87,20.02,48.67,53.9,40.87,79.58,72.15,46.03,320,March 2020,46506,53494,13.290403,108.426511
Mauritius,,47.06,62.9,49.88,47.38,34.95,48.45,48.45,46.32,22.5,57.14,54.05,43.63,63.73,76.62,39.27,73,March 2020,47334,52666,-20.275945,57.570357
Croatia,,18.3,47.2,21.56,16.18,16.31,23.36,18.69,21.04,18.86,29.74,30.73,19.41,69.29,90.42,77.08,718,March 2020,24692,75308,45.564344,17.011895
Madagascar,,75,83.33,61.36,56.25,54.17,64.58,52.08,27.08,34.09,43.75,68.75,70.83,87.5,60.42,14.58,12,December 2019,61986,38014,-18.92496,46.441642
New Zealand,,43.06,62.21,42.51,32.91,36.18,44.96,35.92,39.91,28.58,53.38,50.48,39.33,25.29,73.97,46.3,818,March 2020,41210,58790,-41.500083,172.834408
Jordan,,37.19,69.91,39.97,36.91,42.23,49.25,37.25,43.35,23.63,36.87,43.66,34.16,69.19,80.04,60.52,231,February 2020,41023,58977,31.166705,36.941628
Uruguay,,61.91,78.95,54.71,59.22,50.04,61.12,46,32.5,10.73,59.08,65.01,60.34,49.33,68.7,37.73,201,March 2020,53314,46686,-32.875555,-56.020152
Poland,,26.13,39.24,24.89,25.98,25.98,32,29.97,32.31,33.17,27.79,43.92,19.5,42.68,84.53,61.68,1423,March 2020,29977,70023,52.097718,19.025816
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown 0,11765,88235,16.741704,-62.191684
Honduras,,86.01,76.53,73.47,82.19,69.52,75,73.63,60.92,45.42,79.96,79.17,84.18,87.59,30.44,15.14,148,February 2020,76472,23528,15.257243,-86.075514
Italy,,45.77,62.8,47.21,41.8,39.27,48.82,36.98,36.51,25.1,52.64,53.91,36.71,61.15,74.38,48.99,2126,March 2020,44520,55480,42.638426,12.674297
Gambia,,62.5,75,77.5,52.5,30,67.5,42.5,37.5,32.5,52.5,67.5,40,80,62.5,42.5,10,January 2020,55147,44853,13.470062,-15.490046
Egypt,,46.91,62.71,36.92,48.53,50.38,55.75,42.64,48.42,27.66,51.31,47.35,39.12,74.66,74.76,52.15,624,March 2020,47016,52984,26.254049,29.267547
Norway,,33.9,60.5,30.92,31.44,24.23,31.67,33.1,32.45,29.56,51.41,39.58,29.89,26.84,74.97,57.64,922,March 2020,34746,65254,60.500021,9.099972
Mexico,,61.18,71.4,53.21,57.06,50.41,58.85,47.67,34.22,20.53,55.38,60.84,59.5,75.86,68.51,40.11,2347,March 2020,54109,45891,19.432601,-99.133342
Switzerland,,17.1,53.55,22.13,16.93,11.67,19.24,18.91,21.4,16.08,36.58,29.58,15.04,18.28,88.02,74.13,723,March 2020,21679,78321,46.798562,8.231974
Armenia,,18.25,40.65,24.44,19.32,17.21,24.43,17.21,20.33,14.11,19.15,23.66,17.85,55.33,89.67,77.16,130,February 2020,22448,77552,40.769627,44.673665
Moldova,,46.6,57.07,39.88,40.17,34.28,52.73,45.4,47.59,29.27,36.14,49.46,33.77,87.5,75.89,39.94,90,March 2020,45719,54281,47.286747,28.511024
Us Virgin Islands,,68.48,62,52.27,47.83,43.48,59.09,43.48,47.83,36.36,66.3,63.04,65.22,73,77.17,28.26,25,January 2020,56465,43535,17.789187,-64.708057
Bahrain,,25.54,60.6,22.28,20.6,21.26,31.54,28.35,27.33,28.62,30.67,29.81,21.31,45.07,84.18,72.32,81,February 2020,28680,71320,26.155125,50.534461
Curacao,,73.15,85.19,62.04,56.73,44.44,68.52,50.93,42.71,32.29,61,71.15,70.19,60,75,37.96,27,February 2020,59511,40489,12.1845,-68.964092
Bermuda,,37.97,62.41,41.76,33.06,22.19,30.02,28.88,41.67,27.27,51.14,41.76,38.49,34.09,76.61,61.32,23,February 2020,36984,63016,32.301822,-64.760358
Belgium,,48.14,63.47,44.99,44.4,35.86,49.08,44.53,45.38,31.05,52.08,55.82,39.4,35.26,73.59,47.05,602,March 2020,45006,54994,50.640735,4.66696
Albania,,43.1,46.94,38.22,36.39,38.91,42.01,29.71,31.64,17.6,48.16,42.11,39.68,79.71,76.61,58,186,February 2020,40339,59661,41.000028,19.999962
Romania,,22.8,39.04,24.45,25.7,17.59,34.39,23.65,33.16,13.82,26.26,33.96,15.74,72.49,87.07,65.78,1501,March 2020,27988,72012,45.985213,24.685923
Gibraltar,,9.18,53.3,10.65,12.12,11.32,15.06,16.54,16.67,12.5,37.5,26.83,10.65,25,95.95,87.12,17,February 2020,17212,82788,36.140807,-5.354129
Northern Mariana Islands,,25,60,35,25,40,45,20,30,15,55,55,40,65,95,85,5,December 2019,34118,65882,14.149021,145.213452
Falkland Islands,,0,50,12.5,0,0,25,0,37.5,12.5,12.5,12.5,0,12.5,100,100,2,March 2016,10294,89706,-51.966642,-59.550039
Papua New Guinea,,85.05,83.03,76.2,79.57,80.93,84.03,76.18,75.32,69.38,76.85,85.97,84.81,90.43,31.76,14.58,85,February 2020,80677,19323,-5.681607,144.248908
Ghana,,49.89,57.8,51.2,51.72,46.33,56.15,48.12,42.27,34.38,48.56,50.81,56.15,80.36,77.1,43.21,58,March 2020,50189,49811,8.030028,-1.080027
Latvia,,38.06,46.71,34.28,32.72,30.69,44.94,39.52,34.13,22.88,39.8,47.43,26.28,62.47,82.34,55.17,399,February 2020,37560,62440,56.840649,24.753765
Colombia,,65.46,57.27,43.36,63.9,48.19,58.7,47.43,36.1,17.19,57.8,60.19,64.8,75.66,61.46,33.83,613,March 2020,54805,45195,2.889443,-73.783892
Sao Tome And Principe,,62.5,75,50,50,25,37.5,50,50,25,37.5,62.5,50,87.5,62.5,50,2,February 2020,51471,48529,0.88755,6.964872
Luxembourg,,32.5,59.86,33.77,29.22,25.13,32.63,28.77,28.85,18.27,49.03,37.63,22.86,34.22,81.5,55.81,110,February 2020,32966,67034,49.815868,6.129675
Eritrea,,31.25,55.56,22.22,25,27.78,25,16.67,16.67,16.67,22.22,27.78,19.44,41.67,71.88,66.67,9,November 2019,27758,72242,15.950032,37.999967
Brunei,,23.89,58.51,45.56,27.22,28.89,31.11,20,15.76,12.5,33.15,39.67,16.3,31.67,92.93,73.37,47,February 2020,27395,72605,4.413716,114.565391
Aruba,,25,61.9,29.76,22.5,26.32,25,17.86,17.86,17.86,44.05,33.33,25,42.86,90.48,66.67,21,November 2019,28362,71638,12.501363,-69.961847
Kazakhstan,,66,72.93,63.38,64.12,55.81,68.64,61.99,58.4,42.51,53.35,65.46,54.7,90.23,60.18,29.19,276,March 2020,62362,37638,47.228609,65.20932
Togo,,44.44,66.67,56.25,53.57,53.12,39.29,46.43,42.86,32.14,46.43,58.33,53.12,77.78,61.11,44.44,9,February 2020,50221,49779,8.780027,1.019977
Cyprus,,27.02,66.37,39.99,20.65,21.72,34.58,19.78,27.47,18.52,30.54,35.16,22.48,59.36,87.92,70.39,205,March 2020,30551,69449,34.982302,33.145129
Vatican City,,10,14,5,13,15,16,10,7,3,14,23,30,30,95,67,7,February 2020,14588,85412,41.903491,12.452835
Bonaire,,45,50,40,45,55,60,40,35,35,50,60,45,55,70,50,5,October 2019,46176,53824,12167,-68.290968
Sint Maarten,,0,0,0,0,12.5,25,0,0,0,25,12.5,0,25,100,87.5,2,July 2017,6618,93382,52.755935,4.750547
Antigua And Barbuda,,87.5,80,75,50,50,65,40,45,40,60,55,70,65,55,30,5,December 2019,63088,36912,17.079128,-61.822252
Iraq,,50.46,55.09,46.83,45.03,42.74,46.08,46.23,41.67,41.77,37.18,48.18,51.66,65.51,64.45,53.18,169,March 2020,47160,52840,33.095579,44.174978
Ukraine,,51.67,68.2,49.33,44.93,45.14,56.63,44.57,40,26.11,46.7,55.88,40.35,83.62,75.99,45.46,1063,March 2020,49119,50881,49.487197,31.271832
Saint Kitts And Nevis,,25,25,31.25,18.75,18.75,18.75,12.5,6.25,0,18.75,31.25,31.25,25,93.75,75,4,December 2019,20221,79779,17.346228,-62.768728
Belize,,62.5,76.39,59.03,50.71,19.12,46.97,44.44,40.44,25,58.57,61.43,55.56,81.43,70.14,36.81,37,February 2020,52920,47080,16.825979,-88.760093
Guinea,,75,50,50,75,75,75,50,50,50,100,75,75,100,25,0,1,January 2019,72059,27941,10.722623,-10.708359
Nicaragua,,48.77,55.54,46.75,47.21,31.72,49.81,39.17,32.61,16.67,39.89,49.3,43.69,73.91,71.75,36.55,49,February 2020,44958,55042,12.372493,-84.870031
Benin,,50,50,46.43,46.43,17.86,42.86,33.33,32.14,14.29,21.43,41.67,35.71,78.57,96.43,71.43,7,January 2020,37815,62185,9.529347,2.258441
Sudan,,35.19,57.25,47.69,42.31,43.07,64.28,35.5,31.45,29.84,38.71,54.43,35.5,78.23,77.83,63.13,34,February 2020,42522,57478,14.584444,29.491769
Djibouti,,65,83.33,58.33,62.5,62.5,66.67,70.83,75,66.67,58.33,70,54.17,83.33,33.33,29.17,6,September 2019,67304,32696,11.856775,42.757785
Netherlands,,27.11,48.64,29.21,22.95,19.59,30.12,23.64,27.38,19.77,38.47,36.77,23.29,18.04,84.57,67.82,960,March 2020,27459,72541,52.237989,5.534607
Trinidad And Tobago,,84.56,84.77,69.54,74.83,66.89,72.33,67.83,57.38,32.78,77.83,73.15,82.78,89.26,47.37,15.79,153,February 2020,72935,27065,10.867785,-60.982107
Mauritania,,43.75,68.75,62.5,56.25,40.62,46.88,56.25,40.62,53.12,34.38,50,50,65.62,87.5,43.75,8,June 2019,48529,51471,20.254038,-9.239926
Slovenia,,12.25,51.3,18.89,14.04,14.72,23.03,13.95,14.3,10.66,32.4,29.26,15.1,56.95,92.3,79.01,351,March 2020,21179,78821,45.813311,14.480837
Timor-Leste,,44.55,48.84,53.84,41.34,30.36,50.11,35.09,36.76,30.56,26.39,52.59,42.59,76.39,83.42,48.84,21,February 2020,42721,57279,-8.515198,125.837576
Somalia,,59,54.81,59.5,63.46,57.08,55,57.55,56.25,54.9,51.44,60.1,61.76,71.63,47.17,42.13,54,January 2020,58305,41695,8.367677,49.083416
Tonga,,66.67,75,68.18,68.75,64.58,72.92,70.45,66.67,63.64,65.91,68.75,56.25,70.83,56.25,33.33,12,June 2019,66021,33979,-19.916082,-175.202642
Bangladesh,,71.56,69.43,60.83,68.14,60.61,59.53,58.73,57.3,36.64,66.06,67.26,61.29,87.82,48.44,24.79,300,March 2020,64417,35583,24.476878,90.293243
Vanuatu,,40,70,65,37.5,37.5,20,25,31.25,30,12.5,30,20,45,100,80,6,November 2019,33162,66838,-16.525507,168.106915
Estonia,,20.69,35.73,20.22,18.39,17.72,29.13,22.4,20.76,19.61,32.45,29.9,15.78,29.29,89.18,69.43,302,March 2020,23226,76774,58.752378,25.331908
Central African Republic,,86.11,85,77.5,80,77.5,80,75,77.5,87.5,75,80,82.5,90,20,10,10,December 2019,82108,17892,7.03236,19.998123
Monaco,,19.3,45.16,21.03,19.3,21.03,19.3,13.74,14.81,16.35,30.56,16.72,18.44,29.81,85.68,83.1,30,February 2020,20904,79096,43.731142,7.419758
Germany,,35.21,63.79,33.11,32.68,24.33,31.98,36.93,40.25,26.42,44.71,43.23,30.63,24.67,78.7,57.31,2301,March 2020,35432,64568,51.08342,10.423447
Seychelles,,32.69,79.17,51.92,32.69,19.23,40.38,28.85,26.92,15.38,44.23,42.31,30.77,55.77,88.46,59.62,13,November 2019,36330,63670,-4.657498,55.454015
