Country,City,LevelOfCrime,CrimeIncrIn3years,HomeBroken,MuggedOrRobbed,CarStolen,ThingsFromCarStolen,Attacked,Insulted,AttackCauseEGR,Drugs,VandalismAndTheft,ViolentCrimes,CorruptionAndBribery,SafetyDaylight,SafetyNight,Contributors,Update,cindex,sindex,latitude,longitude
Bulgaria,,37.85,48.59,39.4,30.88,37.67,44.08,31.71,33.05,27.25,42.33,47.84,27.22,77.89,85.25,58.03,559,February 2020,38716,61284,42.607398,25.485662
Afghanistan,,79.7,78.47,74.49,73.78,80.92,75.21,77.46,71.27,64.93,76.49,77.05,76.74,82.95,36.81,23.04,72,February 2020,75824,24176,33.768007,66.238514
Tunisia,,43.06,63.92,39.87,47.32,36.99,46.31,36.84,37.27,24.85,38.1,42.76,32.52,68.67,72.07,48.21,177,February 2020,42607,57393,33.843941,9.400138
Lithuania,,34.37,35.87,29.05,32.11,28.17,38.2,35.39,29.82,25.6,32.01,41.8,27.64,55.27,84.95,56.45,444,March 2020,33685,66315,55.35,23.75
Syria,,70.45,73.36,64.52,66.33,63.33,65.25,66.88,64.79,63.75,51.04,65.21,67.83,80.17,40.45,28.02,125,February 2020,66785,33215,34.640186,39.049411
South Sudan,,91.04,85.16,86.76,73.65,78.76,82.04,74.75,66.3,69.57,59.78,84.12,83.76,94.57,62.25,19.76,25,February 2020,78255,21745,7.869943,29.66679
Mali,,40.62,56.25,46.88,40.62,28.12,15.62,34.38,25,31.25,46.43,34.38,25,75,71.88,68.75,8,April 2019,37656,62344,16.370036,-2.290024
Ethiopia,,45.77,67.16,49.25,51.47,42.16,58.96,42.16,42.42,32.72,39.02,57.35,44.12,75.75,71.32,40.81,68,January 2020,48689,51311,10.21167,38.65212
Zimbabwe,,57.48,76.14,66.57,59.4,48.42,67.15,50.15,51.34,37.77,51.06,65.65,55.65,91.13,65.05,35.2,102,March 2020,58389,41611,-18.455496,29.746841
South Africa,,84.94,83.27,78.39,79.22,74.1,78.01,73.63,62.12,62.9,73.42,79.29,83.68,86.65,38.61,13,2367,March 2020,77523,22477,25.213108,55.183275
Uzbekistan,,24.29,37.16,27.7,24.32,21.62,39.19,22.97,25,16.89,24.29,31.25,22.22,67.65,82.43,69.59,38,February 2020,28301,71699,41.32373,63.95281
Bolivia,,59.68,72.5,49.67,58.37,52.28,61.43,48.95,38.67,31.25,49.61,57.28,49.67,84.68,67.06,32.64,70,March 2020,54924,45076,-17.05687,-64.991229
Cape Verde,,62.5,75,58.33,58.33,37.5,54.17,41.67,41.67,37.5,58.33,58.33,62.5,41.67,50,12.5,6,February 2019,55882,44118,16.000055,-24.008395
Solomon Islands,,58.33,75,67.5,72.5,58.33,65,75,75,52.5,65,62.5,60,82.5,62.5,37.5,10,September 2019,63872,36128,-9.735434,162.828854
Guinea-Bissau,,75,75,62.5,62.5,50,75,62.5,37.5,87.5,62.5,37.5,50,87.5,37.5,12.5,2,November 2019,66176,33824,12.100035,-14.900021
Yemen,,75.29,86.16,67.35,73.12,71.9,77.47,70.94,71.59,64.77,59.09,76.38,76.38,90.91,40.51,27.47,23,February 2020,73174,26826,16.347124,47.891527
Nepal,,33.01,43.45,41.14,35.91,19.72,24.25,29.37,28.78,13.31,45.42,42.5,30.9,82.35,83.17,51.42,164,March 2020,35385,64615,28.108393,84.091714
Faroe Islands,,10.58,41.07,15.18,14.29,15.18,14.29,16.96,15.74,16.96,27.68,23.21,18.75,25.89,83.93,81.25,28,January 2020,18339,81661,62.044872,-7.032297
British Virgin Islands,,18.75,12.5,6.25,25,25,6.25,25,12.5,0,18.75,18.75,18.75,12.5,81.25,81.25,4,November 2019,16176,83824,18.40244,-64.566164
Belarus,,20.69,42.44,21.56,19.28,18.64,28.49,25.33,24.86,11.1,27.39,32.04,17.62,58.33,90.92,70.11,189,March 2020,25184,74816,53.425061,27.697136
Cayman Islands,,29.61,60.16,44.42,27.76,16.64,36.09,22.2,19.79,15,31,38.44,30.53,37,92.28,67.57,27,February 2020,29883,70117,19.541721,-80.566713
Samoa,,50,66.67,54.17,45.83,33.33,29.17,45.83,45.83,41.67,45.83,62.5,50,45.83,66.67,45.83,6,April 2018,47304,52696,-13.769389,-172.120051
Qatar,,6.61,35.13,9.25,7.06,4.91,11.1,8.22,20.45,12.55,10.88,11.09,6.91,24.02,91.21,86.16,246,February 2020,12002,87998,25.333698,51.22953
Isle Of Man,,17.14,60.29,22.79,15.44,12.86,16.67,18.57,23.57,13.57,50,33.57,13.57,27.14,89.29,80,35,January 2020,22951,77049,54.235817,-4.514599
Cambodia,,55.73,67.05,55.16,57.01,44.12,50.8,44.74,36.88,26.7,61.41,59.83,47.98,83.01,71.1,38.75,108,February 2020,52472,47528,13.506639,104.869423
Greece,,40.57,68.9,44.92,37.84,31.21,43.73,32.04,29.77,23.1,46.73,47.68,32.47,64.58,81.42,56.06,1112,March 2020,40424,59576,38.995368,21.987713
Gabon,,37.5,61.11,44.44,61.11,36.11,44.44,38.89,36.11,41.67,44.44,47.22,36.11,88.89,66.67,44.44,9,November 2019,45996,54004,-0.899969,11.68997
Russia,,40.71,45.27,31.02,36.25,37.3,43.77,40.77,40.04,29.58,43.31,46.86,32.22,73.89,78.97,49.04,2015,March 2020,40847,59153,64.686314,97.745306
United Kingdom,,49.17,61.35,41.87,41.44,34.59,41.74,42.92,46.24,30.39,58.64,51.61,42.23,29.33,73.01,46.71,3953,March 2020,44126,55874,54.702355,-3.276575
Zambia,,39.47,58.11,53.29,41.89,40.54,57.43,35.14,36.03,32.35,37.14,50,41.22,74.29,86.18,51.32,40,February 2020,43432,56568,-14.518624,27.559916
India,,46.41,57.02,44.02,43.16,39.94,42.56,40.92,39.77,28.15,39.29,47.58,41.44,70,72.72,50.45,4852,March 2020,44112,55888,22.351115,78.667743
Argentina,,73.24,75.12,56.15,70.13,55.18,63.19,55.51,41.55,16.35,63.71,69.9,70.58,84.66,59.77,26.59,717,February 2020,62082,37918,-34.996496,-64.967282
Mozambique,,64.17,75.37,60.72,61.59,55.55,73.65,48.61,47.41,34.48,39.29,57.03,62.03,89.66,59.86,31.2,30,February 2020,59226,40774,-19.302233,34.914498
Ecuador,,57.85,62.44,47.07,58.57,47.05,57.68,44.4,34.46,19.04,50.68,57.62,55.6,71.53,66.38,32.96,276,March 2020,51785,48215,-1.339767,-79.366696
Bhutan,,40.38,60.71,33.93,32.14,25,39.29,33.93,21.15,26.79,37.5,37.5,32.14,37.5,82.69,60.71,14,August 2019,35019,64981,27.549511,90.511927
French Guiana,,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,2,October 2019,52941,47059,4.003988,-52.999998
Kenya,,69.48,57.96,59.66,67.34,54.9,62.91,60.02,47.26,35.19,57.05,65.92,67.66,90.25,59.87,26.33,172,March 2020,61668,38332,1.441968,38.431398
Sweden,,51.27,67.99,42.19,45.85,38.83,46.04,47.14,44.85,41.22,51.73,52.86,48.43,35.04,66.18,45.83,1861,March 2020,47292,52708,59.674971,14.520858
Botswana,,58.35,80.46,70.26,66.18,47.3,65.8,52.4,32.22,16.11,47.22,62.1,57.5,48.33,76.89,35.05,49,February 2020,53470,46530,-23.168178,24.592874
Finland,,21.47,59.07,18.9,20.29,17.02,22.95,25.08,27.37,22.73,33.94,32.45,19.36,16.73,86.41,70.36,564,March 2020,24914,75086,63.246778,25.920916
Puerto Rico,,75.42,76.8,63.45,67.93,61.7,72.47,58.37,48.9,22.02,78.26,72.09,72.35,76.38,56.24,26.54,404,February 2020,65541,34459,18.221417,-66.413282
Kyrgyzstan,,65.07,64.15,55.82,63.81,43.5,56.62,65.67,60.48,62.1,49.17,54.44,53.66,89.17,59.61,28.55,33,February 2020,60332,39668,41.508932,74.724091
Portugal,,26.11,52.77,25.59,31.28,25.95,38.34,23.92,22.31,11.9,38.61,37.22,24.65,47.57,85.58,64.2,1003,March 2020,29921,70079,40.033265,-7.889626
Angola,,74.3,68.55,63.92,72.66,55.64,69.78,63.09,46.59,34.66,52.22,72.61,74.79,90.56,47.13,23.23,51,March 2020,65742,34258,-11.877577,17.569124
Hong Kong,,16.11,53.92,15.5,15.51,11.53,14.02,17.99,23.64,14.45,24.75,23.05,17.9,35.85,87.35,77.52,418,March 2020,20681,79319,22.350627,114.184916
Liechtenstein,,0,28.57,3.57,0,0,7.14,0,0,0,7.14,7.14,0,3.57,100,100,7,November 2019,3361,96639,47.141631,9.553153
Australia,,43.24,61.08,40.69,34.8,33.44,39.89,38.89,42.34,28.9,53.32,50.27,39.93,33.17,72.81,45.43,3792,March 2020,41659,58341,-24.776109,134755
New Caledonia,,75,83.33,54.17,62.5,58.33,54.17,75,60,62.5,66.67,70.83,62.5,54.17,41.67,12.5,6,September 2019,66765,33235,-21.30199,165.488077
Mongolia,,64.27,68.63,52.58,65.78,43.29,57.58,63.59,65.87,55.39,39.9,59.08,53.94,78.92,56.02,34.9,60,February 2020,59202,40798,46.825039,103.849974
Guernsey,,14.29,57.14,14.29,1.79,8.93,19.23,12.5,25,14.29,37.5,30.36,14.29,30.36,85.71,69.64,14,January 2020,20776,79224,49.462291,-2.581202
Spain,,29.18,56.7,30.22,32.14,23.55,35.47,25.88,27.51,18.27,42.19,40.76,24.83,51.05,83.43,64.94,1712,March 2020,32220,67780,40.002803,-4.003104
Thailand,,40.89,59.78,40.57,37.52,31.33,36.24,31.57,30.09,21.11,51.79,43.4,39.54,78.41,80.59,58.4,628,March 2020,40296,59704,14.897192,100.83273
Taiwan,,9.08,43.29,12.74,9.71,13.91,15.51,11.72,15,7.63,21.58,18.31,10.49,36.54,94.44,86.35,372,February 2020,15464,84536,23.598298,120.835363
Chile,,51.16,62.55,47.4,50.31,47.82,55.7,35.69,29.64,21.89,48.82,56.31,48.53,46.32,73.61,45.19,384,February 2020,46215,53785,-31.761336,-71.31877
Guyana,,77.74,76.57,71.34,74.27,54.48,63.47,63.47,53.21,41.25,66.03,77.16,76.57,86.88,49.27,30.06,44,February 2020,68152,31848,4.88732,-58.93988
French Southern Territories,,50,50,50,0,50,50,0,0,0,25,50,0,75,100,75,1,December 2019,30882,69118,-44.151178,63.860456
Haiti,,78.23,69.48,73.32,74.48,56.98,71.98,64.48,38.16,31.58,60.53,75.73,74.45,90.79,42.36,16.98,21,February 2020,68077,31923,19.139995,-72.357097
Burundi,,41.67,58.33,50,50,45.83,45.83,50,50,40,60,50,35,66.67,60,45.83,6,February 2020,48285,51715,-3.363436,29.887058
Republic Of Congo,,100,0,0,0,0,0,0,0,0,0,0,0,50,100,100,2,June 2018,20588,79412,-0.726433,15.641916
Pakistan,,47.32,38.92,40.54,48.41,46.28,44.44,34.82,31.33,23.43,45.87,49.28,49.72,72.47,68.58,47.48,1225,March 2020,44201,55799,30.33084,71.247499
Ireland,,49.91,65.07,44.55,40.44,35.24,44.08,43.51,46.26,27.63,63.95,53.9,43.49,42.18,70.46,46.05,1158,March 2020,46089,53911,52.865196,-7.97946
Iran,,50.22,66.47,45.27,49.26,55.06,66.85,41.19,42.88,19.23,57.42,51.15,37.35,71.69,73.24,44.85,596,February 2020,49199,50801,32.94075,52.947134
Barbados,,52.99,76.33,46.65,47.43,35.09,42.74,40.4,38.71,31.45,43.33,45.08,50.59,50,77.9,46.65,32,February 2020,46013,53987,13.150033,-59.52503
Burkina Faso,,45.45,63.64,59.09,47.73,47.73,52.27,38.64,43.18,37.5,52.27,59.09,50,72.73,75,47.73,11,January 2020,49264,50736,12.075308,-1.688031
Palestine,,43.06,52.63,43.86,42.27,45.61,44.64,41.67,51.75,37.28,37.72,45.91,38.16,63.6,63.6,52.63,57,February 2020,44591,55409,31.762115,-95.630789
Namibia,,74.95,78.94,76.42,72.62,52.1,73.25,66.83,56.42,46.43,61.73,68.48,66.69,80.86,62.87,26.43,122,February 2020,66842,33158,-23.23355,17.323111
Morocco,,50.91,57.23,37.67,56.16,36.94,50.83,47.01,44.61,24.49,54.86,51.61,47.07,71.53,65.93,35.19,368,March 2020,48919,51081,31.172819,-7.336604
Grenada,,27.78,61.11,34.72,26.47,15.28,29.69,23.61,31.94,19.44,29.17,36.11,31.94,22.22,86.84,72.22,19,January 2020,28587,71413,12.136037,-61.690404
Andorra,,11.98,39.92,14.92,10.51,11.98,8.04,14.92,10.94,12.5,29.69,20.8,10.51,18.75,86.98,84.04,17,February 2020,15788,84212,42.540717,1.573203
Laos,,36.76,73.68,51.39,31.94,41.18,34.72,26.39,22.22,21.05,42.11,40.28,32.89,91.67,88.89,76.39,19,July 2019,38501,61499,20.017111,103.378253
Fiji,,63.01,73.39,68.74,60.78,48.92,60.09,57.97,57.45,42.02,54.89,63.57,55.2,71.2,64.05,31.37,48,February 2020,59284,40716,-18.12397,179.012274
Turks And Caicos Islands,,54.17,70,75,41.67,20.83,60,45.83,25,33.33,40,54.17,50,75,62.5,41.67,6,December 2019,49951,50049,21.721468,-71.620178
Peru,,79.14,80.97,59.35,73.27,62.89,68.41,61.64,49.25,36.22,61.75,73.79,77.72,86.75,45.3,20.69,244,March 2020,68438,31562,-6.86997,-75.045851
Guatemala,,70.18,63.53,52.06,65.31,59.04,65.24,50.91,33.12,22.12,51.58,64.41,70.54,80.52,54.12,26.19,85,February 2020,59330,40670,15.635609,-89.898809
Hungary,,31.3,47.32,32.95,28.9,33.65,40.39,29.03,33.13,26.88,37.5,45.09,23.69,69.41,83.95,60.8,660,March 2020,35123,64877,47.181759,19.506094
Reunion,,31.25,60,27.5,22.5,17.5,47.5,20,27.5,17.5,27.5,35,20,32.5,87.5,55,10,January 2020,29779,70221,-21.130933,55.526577
Tanzania,,60.44,72.94,59.66,65.89,46.25,66.42,52.75,43.24,35.96,52.08,62.05,56.77,85.76,61.73,31.6,80,February 2020,58104,41896,-6.524712,35.787844
Oman,,13.51,48.09,20.89,16.07,16.65,24.17,17.98,22.05,15.23,28.64,23.95,13.11,36.81,90.66,77.86,117,February 2020,20921,79079,21.000029,57.00369
Greenland,,34.09,45.83,29.17,25,25,27.08,31.25,34.09,35.42,37.5,35.42,27.08,25,79.17,68.75,12,November 2019,31305,68695,71.81718,-40.426288
Suriname,,56.75,75.08,55.54,52.42,40.4,58.95,40.7,36.21,22.5,50,54.76,57.11,81.67,71.17,46.95,32,February 2020,51616,48384,4.141303,-56.077119
Uganda,,62.35,65.29,61.86,63.82,57.94,71.46,52.5,36.98,33.16,46.88,59.28,59.9,88.27,70.77,35.19,52,March 2020,57555,42445,1.533355,32.216658
Lesotho,,58.33,76.92,59.62,67.31,57.69,57.69,59.62,54.17,46.15,61.54,59.62,61.54,96.15,61.54,26.92,13,March 2020,61444,38556,-29.603927,28.335019
Singapore,,29,58.68,27.58,27.8,24.76,31.06,29.45,31.68,27.83,27.55,35.57,26.62,33.05,76.01,68.69,814,March 2020,30819,69181,1.290475,103.852036
United Arab Emirates,,11.43,38.83,14.13,12.14,10.71,16.21,13.78,17.57,13.3,17.68,15.65,11.76,23.43,90.98,82.76,1147,March 2020,15632,84368,24.000249,53.999483
Turkey,Izmir,25.73,55.93,30.46,26.75,17.9,29.36,29.68,28.39,14.21,27.52,30.71,20.94,40.99,86,65.39,149,February 2020,28155,71845,38.415342,27.144474
Brazil,Brasilia,72.32,78.76,46.46,67.86,62.39,72.1,49.56,35.05,22.38,62.96,68.08,72.25,81.73,61.62,27.88,114,March 2020,61591,38409,-10.333333,-53.2
Australia,Brisbane,33.81,56.72,33.94,28.1,25.19,31.34,31.81,33.59,23.43,46.49,42.14,34.31,29.58,81.44,52.39,368,March 2020,34367,65633,-27.468968,153.023499
India,Vadodara,28.66,50.71,34.54,29.03,26.45,31.42,30.21,25.81,21.48,30.24,34.76,29.69,58.73,83.68,70.27,69,February 2020,31476,68524,22.297076,73.195737
Brazil,Belo Horizonte,76.97,75.78,47.85,76.38,68.11,79.17,46.46,29.3,15.5,68.6,78.54,78.35,86.04,51.57,20.31,128,February 2020,65242,34758,-19.922732,-43.945095
United States,Boise| ID,35.06,66.56,37.34,31.58,32.57,46.33,30.92,31.07,26.43,48.94,45.07,36.84,36.62,75.65,64.14,77,February 2020,37392,62608,43.670257,-116.468032
Thailand,Bangkok,42.53,58.75,40.45,39.37,32.23,36.57,33.17,31.11,20.34,53.75,43.86,39.77,83.59,78.78,55.45,279,February 2020,41548,58452,13.754253,100.493087
France,Lyon,45.78,62.55,42.84,44.89,35.33,49.89,43.25,51.97,35.71,48.36,49.25,35.02,26,72.39,50.21,80,February 2020,43518,56482,45.757814,4.832011
India,Bangalore,51.3,63.24,45.2,49.35,43.69,47.6,47.56,45.98,35.59,41.83,50.92,44.6,77.85,69.75,42.27,473,February 2020,49135,50865,12.97912,77.5913
India,Thiruvananthapuram,39.58,62.18,40.07,37.57,36.6,35.07,34.68,35,25,39.92,43.91,34.3,56.25,72.76,48.89,66,February 2020,39861,60139,8.505891,76.957048
Australia,Adelaide,26.57,47.74,28.92,21.65,21.43,27.15,24.91,30.19,16.8,40.11,39.14,26.47,24.59,82.83,58.17,328,March 2020,28695,71305,-34.927428,138.599899
United States,Cleveland| OH,73.44,72.45,58.16,64.29,52.13,58.51,61.73,64.13,44.15,74.47,68.37,70.74,64.67,57.65,24.49,49,February 2020,64234,35766,41.500693,-81.692725
Philippines,Davao,27,26.08,33.81,31.44,26.56,28.25,28.91,26.16,21.42,33.99,33.81,29.22,31.93,81.33,74.14,911,March 2020,28065,71935,7.064524,125.608414
Norway,Kristiansand,47.47,61.06,47.69,43.7,31.48,37.94,44.05,40.18,50.58,63.95,51.53,36.15,30.52,63.72,46.17,94,February 2020,45374,54626,58.146708,7.995766
Ireland,Limerick,49.15,43.51,37.06,34.8,36.65,45.04,35.85,48.21,24.12,67.27,53.29,38.67,39.29,73.35,45.53,62,February 2020,43078,56922,52.661252,-8.630124
United States,Houston| TX,73.93,71.62,61.69,62.36,60.87,72.88,58.04,55.12,44.44,72.4,71.26,70,51.2,56.9,25,262,February 2020,64222,35778,31.560796,-95.489744
Canada,Markham,19.44,58.49,25.66,19.04,17.8,23.19,17.66,17.35,10.2,22.4,26.14,19.76,14.5,87.41,65.35,52,March 2020,22221,77779,43.854336,-79.326782
Spain,Palma de Mallorca,30.09,57.01,30.41,25.64,20.84,35.65,27.22,30.56,22.22,50,36.79,21.37,50.56,84.67,64.45,47,February 2020,32319,67681,39.569582,2.650075
Finland,Helsinki,19.14,55.14,14.49,19.36,13.52,20.18,23.54,25.68,22.17,30.88,29.83,18.42,14.84,87.87,73.56,235,March 2020,22591,77409,60.167409,24.942568
South Africa,Cape Town,83.88,81.75,70.48,73.75,65.54,74.34,66.21,56.21,51.88,75.11,76.19,80.08,84,47.9,15.75,466,March 2020,73149,26851,-33.928992,18.417396
United Kingdom,Brighton,40.38,67.62,33.87,35.29,23.04,31.37,39.29,46.49,16.23,66.38,44.19,34.71,21.36,81.79,61.37,61,February 2020,37519,62481,50.82204,-0.137406
United States,Irvine| CA,15.96,55,17.5,16.5,18.5,25.51,15.82,13.59,9.66,20.65,23,18,21.74,92,79,50,February 2020,19550,80450,33.671916,-117.753311
United Arab Emirates,Dubai,13.14,40.6,15.65,13.28,11.63,17.51,15.62,19.87,14.51,18.82,17.27,12.92,24.79,90.7,82.69,731,March 2020,16971,83029,25.07501,55.188761
Italy,Turin,53.35,66.25,53.59,52.6,45.47,54.43,47.74,47.62,34.42,61.82,61.78,43.97,65.17,62.76,38.24,155,February 2020,52583,47417,45.067755,7.682489
United Kingdom,Nottingham,54.54,51.18,45.08,47.75,37.99,45.01,45.42,48.16,30.97,60.51,55.71,50.84,32.42,72.11,45.08,74,February 2020,46910,53090,52.953416,-1.149277
United States,Austin| TX,38.07,64.19,36.4,28.51,29.87,50.88,25.88,30.37,19.21,43.35,45.54,33.11,29.13,83.85,54.39,114,February 2020,36024,63976,29.631136,-96.065321
Brazil,Rio de Janeiro,90.42,81.9,57.2,86.55,77.4,76.76,70.96,55.44,38.71,82.07,80.54,90.35,93.19,33.9,12.82,526,March 2020,77389,22611,-22.275276,-42.419415
Russia,Novosibirsk,50,47.73,32.58,44.32,42.58,54.3,46.97,46.59,33.71,54.92,53.52,35.94,78.03,73.48,33.85,66,January 2020,47874,52126,55.028217,82.923451
Mexico,Queretaro,39.08,76.03,40.07,34.93,37.5,54.23,28.08,16.67,4.92,29.85,44.44,37.5,67.28,88.36,66.32,74,February 2020,37298,62702,32.552764,-115.153242
United States,Riverside| CA,36.07,57.54,35.48,35.71,36.51,37.7,35.89,51.32,28.88,59.91,46.77,36.07,29.02,78.57,51.98,63,February 2020,39321,60679,33.980323,-117.369819
Italy,Catania,69.97,65.55,64.1,63.38,75.71,69.18,49.25,41.8,23.41,63.1,70.5,57.69,86.69,57.69,30.05,70,February 2020,61914,38086,37.502236,15.08738
Germany,Munich,11.69,56.08,16.12,12.65,9.67,14.43,19.31,21.82,13.08,20.23,22.86,10.65,14.57,90.73,77.13,255,March 2020,17569,82431,48.137108,11.575382
United States,Louisville| KY,66.5,75.49,50,45.67,34.62,50.98,44.71,41,33,66,58.82,56.25,45.31,70.67,36.06,52,February 2020,52625,47375,38.183562,-85.472544
Switzerland,Lausanne,28.24,59.36,31.49,27.45,13.01,24.62,24.29,31.43,16.67,51.45,34.71,17.24,17.39,85.05,58.66,73,February 2020,28831,71169,46.521827,6.632703
Norway,Oslo,37.97,62.76,29.04,36.13,23.93,33.79,34.62,33.76,28.85,55.3,41.21,33.84,26.63,74.85,55.11,309,March 2020,36695,63305,59.913269,10.739111
Canada,Hamilton,55.5,70.15,42.01,43.07,41.59,50.06,45.82,48.2,31.25,69.03,60.66,47.91,44.59,68.49,37.56,119,February 2020,50282,49718,43.255205,-79.868202
Malaysia,Penang,39.21,49.8,42.39,46.62,34.98,47.02,28.89,24.04,28.77,34.91,48.89,35.91,66.04,80.25,45.25,55,February 2020,40023,59977,5.406501,100.255908
United States,El Paso| TX,30,57.61,25.54,24.44,29.26,38.83,27.72,26.16,15.24,43.9,36.7,32.98,30.11,86.46,64.89,49,February 2020,31008,68992,31.768652,-106.425818
Spain,Alicante,25.64,48.43,27.27,25.09,20.2,34.4,20.74,22.67,12.21,37.21,33.98,20.65,52.38,87.05,64.22,46,February 2020,28287,71713,38.353738,-0.490185
Malaysia,Petaling Jaya,60.37,72.43,60.37,61.11,61.33,66.3,52.62,43.14,38.73,44.61,61.59,56.87,78.92,55.45,31.4,53,February 2020,58369,41631,3.105593,101.642697
South Africa,Port Elizabeth,84.54,89.18,80.87,81.7,70.57,76.84,76.79,59.68,53.26,75.53,78.35,84.18,85.11,44.85,14.8,98,March 2020,76825,23175,-33.961705,25.620752
Germany,Cologne,45.62,69.15,41.97,38.88,30,44.95,45.57,45.83,27.68,55.36,52.13,34.03,28.96,72.87,50.96,89,February 2020,42796,57204,50.938361,6.959974
United Kingdom,London,62.15,69.09,47.38,54.97,42.95,50.02,52.39,52.12,40.03,59.77,57.28,55.08,36.31,66.18,41.34,771,March 2020,52725,47275,51.507322,-0.127647
South Africa,Johannesburg,89.14,80.71,79.54,81.11,77.47,81.45,75.77,63.79,66.52,71.5,82.63,88.61,91.78,30.57,8.83,626,March 2020,80524,19476,-26.25.00,28.049722
Germany,Dusseldorf,29.19,58.81,31.37,26.75,20.92,28.73,30.6,35.83,21.77,42.74,41.75,24.83,19.67,81.75,59.83,66,March 2020,31162,68838,51.225402,6.776314
United States,Boston| MA,39.62,50,32.09,31.39,25.56,40.79,30.87,34.52,19.53,50.79,43.28,36.93,37.6,85.82,59.89,138,March 2020,35676,64324,42.360253,-71.058291
Italy,Palermo,49.97,54.63,44.46,45.73,49.54,58.16,38.1,39.81,19.34,50,57.6,40.65,82.08,65.65,43.61,59,March 2020,48279,51721,38.111227,13.352443
Mexico,Mexico City,78.46,80.15,58.9,75.97,66.06,68.54,62.14,50.53,27.19,68.07,73.82,79.68,88.54,50.83,21.06,394,March 2020,68416,31584,19.432601,-99.133342
Canada,Calgary,35.11,63.33,31.26,23.87,29.43,44.03,22.5,29.94,18.37,48.21,43.46,30.46,23.47,86.83,62.15,280,March 2020,33216,66784,51.053423,-114.062589
