Country,City,LevelOfCrime,CrimeIncrIn3years,HomeBroken,MuggedOrRobbed,CarStolen,ThingsFromCarStolen,Attacked,Insulted,AttackCauseEGR,Drugs,VandalismAndTheft,ViolentCrimes,CorruptionAndBribery,SafetyDaylight,SafetyNight,Contributors,Update,cindex,sindex,latitude,longitude
Canada,Quebec City,9.62,38.59,12.95,10.07,10.71,17.77,9.37,12.12,10.96,21.68,20.92,13.23,27.15,94.15,85.58,139,February 2020,14979,85021,46.82596,-71.235223
United Kingdom,Liverpool,53.05,57.22,45.81,38.03,39.58,42.5,39.29,43.68,26.86,66.32,53.94,43.83,32.18,73.13,52.17,99,February 2020,44888,55112,53.405472,-2.980539
Spain,Madrid,25.22,52.97,26.94,29.26,23.33,34.85,21.85,25.31,18.98,38.35,38.76,22.44,57.48,86.63,70.32,341,February 2020,29955,70045,40.416705,-3.703582
Switzerland,Bern,10.74,45.26,16.65,16.65,8.46,15.46,13.64,16.52,16.96,32.59,31.2,11.91,14.29,90.79,78.29,61,February 2020,17808,82192,46.948271,7.451451
Argentina,Cordoba,67.76,75.39,56.77,63.63,48.94,60.2,47.5,31.12,17,57.65,67.69,64.33,76.53,70.1,36.44,52,February 2020,56676,43324,-27.777716,-67.235317
Argentina,Rosario,84.4,85.2,63.14,80.51,55.79,71.47,63.14,32.14,13.27,82.29,78.4,81.28,84.69,48.4,15.1,51,February 2020,69472,30528,-32.9595,-60.661541
Germany,Hanover,49.38,72.09,36.9,41.69,28.64,38.96,47.98,48.11,34.5,53.85,52.22,38.75,24.52,73.96,45.7,55,February 2020,43923,56077,52.374478,9.738553
South Africa,Pretoria,88.14,84.45,82.35,85.08,80.26,82.2,78.74,68.11,74.9,73.47,82.02,89.16,90.57,34.28,10.45,257,February 2020,81824,18176,-25.745937,28.187944
United States,Portland| OR,54.32,75.54,45.11,35.14,42.39,64.75,39.31,51.15,25.19,66.86,63.59,44.16,35.91,75,46.94,141,February 2020,48831,51169,45.533025,-122.578964
New Zealand,Auckland,47.01,64.98,47.89,40.78,42.96,51.37,40.5,45.46,32.93,57.15,54.76,43.58,26.51,71.37,42.91,348,February 2020,45625,54375,-36.853466,174.765551
Australia,Canberra,15.74,38.97,20.99,12.99,13.14,20.85,16.92,20.88,12.5,29.88,27.59,17.44,16.77,86.58,68.22,180,February 2020,20079,79921,-35.297591,149.101268
India,Chennai,40.67,56.47,44.72,41.72,35.75,38.01,37.28,38.69,22.78,35.68,46.86,38.14,74.19,81.59,53.56,307,March 2020,41009,58991,13.080172,80.283833
Mexico,Merida,20.35,57.56,36.9,25.29,18.9,27.91,20.88,14.81,10.8,25.93,36.63,24.71,52.78,91.86,79.07,86,February 2020,26072,73928,19.424636,-99.158836
China,Shenzhen,30.53,43.05,27.59,31.53,28.35,33.41,29.77,33.67,25.76,32.83,36.08,28.07,57.73,71.52,59.63,103,February 2020,33428,66572,22.54457,114.054535
Sweden,Malmo,60.48,69.15,46.48,54.4,44.52,53.23,54.27,52.49,50.73,57.34,57.31,56.93,38.95,60.83,39.57,460,February 2020,53932,46068,55.605293,13.000157
Poland,Lodz,44.89,42.79,39.6,40.98,35.86,43.39,47.3,49.05,47.5,32.69,56.26,35.43,44.14,69.95,45.55,84,February 2020,43186,56814,51.768732,19.456991
Poland,Gdansk,26.65,40.33,24.35,28.7,25.79,30.1,30.96,32.32,29.46,29.52,42.07,22.34,44.51,81.53,58.83,88,February 2020,30591,69409,54.347628,18.645203
Germany,Dresden,24.85,60.26,27.4,23.29,29.01,23.25,34.03,33.51,33.15,32.45,34.22,22.24,23.89,80.06,64.14,49,February 2020,29826,70174,51.049329,13.738144
Poland,Warsaw,21.14,35.9,22.39,22.5,23.81,29.72,25.89,29.48,31.11,24.76,42.65,15.99,44.07,87.78,66.48,434,March 2020,26908,73092,52.231924,21.006727
Turkey,Istanbul,51.5,68.5,43.79,45.04,33.13,45.41,47.39,49.93,32.03,42.72,46.25,40.85,69.9,70.55,40.88,789,March 2020,47530,52470,41.009633,28.965165
Mexico,Cancun,52.78,73.15,56.02,53.64,46.82,51.82,45.91,34.31,24.51,57.35,54.55,50.45,70.1,69.91,52.73,56,February 2020,50255,49745,19.301982,-99.221511
United States,Indianapolis| IN,69.53,80.86,56.25,52.42,51.17,64.52,48.79,45,26.25,65,66.27,63.89,41.67,69.92,32.81,64,February 2020,56938,43062,39.768333,-86.15835
United States,Nashville| TN,57.56,74.47,44.68,46.28,36.17,51.6,42.02,43.6,22.67,60.47,59.57,54.79,40.48,77.66,46.28,47,February 2020,48561,51439,36.110472,-86.716516
United States,Memphis| TN,87.26,72.22,69.44,71.3,63.43,77.31,67.59,69.12,64.42,84.31,80.56,79.17,65.2,43.52,18.98,54,February 2020,74315,25685,35.076078,-89.863739
Romania,Brasov,17.31,34.45,24,18.2,12.43,30.59,17.43,24.6,8.73,17.74,25.88,12.24,59.92,89.67,75.12,67,March 2020,21962,78038,45.652309,25.610275
Poland,Krakow (Cracow),24.79,43.32,21.62,22.54,21.49,28.63,28.32,31.15,34.46,24.04,41.25,19.27,41.76,84.96,65.42,194,March 2020,28344,71656,50.060674,19.937139
Switzerland,Basel,16.14,48.85,18.16,15.61,9.31,14.43,18.92,21.83,15.62,33.2,24.61,13.24,12.11,88.95,73.86,68,March 2020,19500,80500,47.558108,7.587826
Spain,Malaga,21.39,37.2,24.51,22.92,18.65,31.55,17.87,18.85,11.07,31.67,32.33,18.95,40.98,83.89,67.09,64,February 2020,24691,75309,36.721303,-4.421637
India,Mumbai,46.3,52.26,39.76,39.79,38.07,44.34,37.35,38.12,28.85,40.76,47.39,38.44,74.88,76.63,57.97,449,March 2020,42606,57394,18.938754,72.835238
United States,Columbus| OH,50.85,63.75,33.33,38.98,35.59,48.33,31.25,41.36,29.09,55.91,50.86,43.22,33.64,75.41,50.41,61,February 2020,43061,56939,39.979506,-83.062631
United States,New York| NY,48.05,50.43,37.17,44.79,36.12,44.94,42.28,49.85,33.99,55.6,52.1,48.02,51.46,75.29,53.09,353,March 2020,44854,55146,40.737233,-73.862477
India,Mangalore,25.59,33.05,23.15,20.55,21.16,19.7,25.93,22.56,24.25,26.11,24.88,24.51,36.21,79.92,71.27,145,February 2020,25155,74845,12.86981,74.843008
United Kingdom,Manchester,61.37,68.79,53.71,52.73,44.23,52.42,54.33,55.54,36.56,68.46,62.66,52.41,30.69,67.36,35.04,157,February 2020,53779,46221,53.47913,-2.244101
India,Ahmedabad,27.58,49.01,36.57,30.95,30.91,35.49,28.66,28.6,22.54,21.15,34.3,27.96,63.87,85.23,72.79,145,February 2020,31455,68545,23.021624,72.579707
Poland,Wroclaw,24.67,40.83,24.17,25.53,24.84,31.71,28.29,29.5,33.33,27.86,45.02,17.82,43.04,86.17,61.17,150,March 2020,29330,70670,51.108978,17.032669
Canada,Regina,67.85,61.32,57.25,52.37,51.97,66.12,51.97,47.88,34.75,69.58,71.36,57.93,31.47,63.09,30.94,65,February 2020,56676,43324,50.44876,-104.61731
United States,San Antonio| TX,56.17,68.15,46.95,35.37,44.51,58.84,37.65,37.5,25.65,53.57,56.48,50.91,40.88,76.51,48.17,84,February 2020,47076,52924,31.816038,-99.512099
Russia,Saint Petersburg,38.5,43.27,27.27,34.92,41.64,43.86,36.99,35.81,26.53,43.56,46.4,28.91,74.49,81.35,52.68,299,March 2020,39125,60875,59.938732,30.316229
Netherlands,Rotterdam,40.37,43.35,34.24,29.23,26.56,36.61,33.26,37.5,26.39,45,48.85,34.5,23.03,79.14,56.25,95,March 2020,35544,64456,51.927798,4.488623
India,Pune,38.12,59.6,37.56,37.56,32.59,36.29,37.5,39.9,26.96,34.74,41.77,35.67,69.2,78.55,56.25,209,March 2020,39347,60653,18.520306,73.854319
Brazil,Sao Paulo,83.7,73.38,55.44,79.27,72.3,74.16,57.39,43.99,26.51,74.43,77.83,84.87,91.49,46.79,15.44,546,March 2020,70584,29416,-29.275632,-51.736618
Mexico,Puerto Vallarta,34.18,59.22,35.19,31.49,27.21,36.03,24.03,17.68,10.31,35.1,42.23,33.41,61.34,88.57,63.57,105,February 2020,33155,66845,20.698208,-105.181524
Sweden,Lund,32.37,55.38,35.76,33.86,26.28,33.88,32.47,32,30.41,34.72,43.59,33.33,28.72,72.78,62.34,79,February 2020,34258,65742,55.70293,13.192945
United Kingdom,Belfast,45.49,43.09,38.2,29.05,36,40,38.62,40.8,40.23,53.12,50.43,37.93,29.89,83.04,52.33,92,March 2020,39909,60091,54.596987,-5.930099
Ukraine,Kharkiv,50.38,70.34,44.13,42.91,40.1,52.51,44.96,39.34,22.79,54.23,54.43,43.56,83.15,76.94,47.23,144,February 2020,48201,51799,49.991425,36.272266
Sweden,Stockholm,48.68,68.57,40.61,42.66,35.42,43.57,43.59,40.7,37.17,48.63,51.6,46.8,30.1,70.38,48.71,507,March 2020,44492,55508,59.325117,18.071094
Brazil,Salvador,89.38,85.42,52.08,86.81,75.35,75,63.38,51.87,30.6,78.62,79.45,90.49,90.58,29.86,9.93,73,February 2020,75765,24235,-12.98225,-38.481277
Mexico,Puebla,70,85.42,64.58,76.04,61.17,71.88,61.98,51.74,39.53,59.3,75,72.28,79.65,57.29,30.73,48,February 2020,65915,34085,18.833333,-98
India,Navi Mumbai,33.61,43.24,37.06,34.65,35.38,34.54,35.1,36.01,27.38,34.82,36.92,32.85,48.21,75.27,68.24,89,February 2020,34911,65089,19.030826,73.019854
Ecuador,Quito,66.04,70.03,48.42,63.52,52.86,60.3,47.78,38.82,22.81,53.04,57.16,62.89,78.73,61.53,25.91,122,March 2020,56885,43115,-0.220164,-78.512327
United Kingdom,Cambridge,19.48,51.25,22.99,19.05,15.51,21.76,15.72,25,11.63,36.63,32.38,14.37,11.05,89.29,72.44,46,February 2020,22003,77997,52.203482,0.123582
India,Visakhapatnam,37,59.54,42.15,40.31,28.64,32.71,35.63,32.32,23.17,30.95,43.09,31.83,64.29,74.22,57.37,48,February 2020,37885,62115,17.723128,83.301284
Canada,Oshawa,51.8,65.93,39.3,44.07,35.18,54.62,45.28,43.6,19.19,74.39,56.84,49.07,35.47,67.02,36.04,46,February 2020,47958,52042,43.91768,-78.862953
Canada,Kelowna,56.7,74.05,50.6,34.99,41.97,59.37,37.8,46.28,24.34,76.3,66.24,45.05,31.33,79,37.96,82,February 2020,49498,50502,49.889326,-119.498291
United Kingdom,Cardiff,38.06,56.27,34.51,33.61,26.44,38.08,35.84,40.18,16.36,50,46.25,32.45,27.23,81.16,50.13,59,February 2020,36477,63523,51.481655,-3.179193
Australia,Cairns,57.03,74.78,51.67,50.9,48.66,50.53,56.5,60.66,45.16,59.02,63.96,48.29,53.63,52.39,31.22,69,February 2020,55955,44045,-16.920496,145.771901
Norway,Trondheim,17.09,54.79,18.89,15.37,13.95,20.76,19.79,16.1,14.04,33.45,25.63,14.59,15.53,87.8,74.02,78,February 2020,20726,79274,63.430566,10.395193
France,Marseille,63.06,58.2,53.77,56.98,52.74,59.43,54.73,58.95,34.69,68.24,65.53,59.52,62.11,55.63,33.98,173,March 2020,57909,42091,43.296174,5.369953
Turkey,Ankara,39.7,64.5,40.45,36.76,27.46,43.57,38.47,38.56,25.4,32.41,41.06,32.4,64.92,77.2,49.45,202,February 2020,39906,60094,39.921522,32.853793
South Africa,Pietermaritzburg,86.67,84.25,83.67,84.25,80.67,81.6,81.42,70.49,75,79.58,83.45,86.67,86.97,29.33,11.67,75,February 2020,82178,17822,-29.6,30.378889
United States,Honolulu| HI,48.51,69.78,40.67,39.18,38.06,53.73,40.91,40.42,24.59,59.43,59.09,44.32,50,81.06,52.99,67,February 2020,45392,54608,21.591053,-158.100583
India,Kolkata,52.91,64.96,45.11,45.68,43.17,46.3,41.49,46.7,24.37,36.39,52.9,46.28,80.13,75.76,47.34,170,February 2020,47595,52405,22.567746,88.347602
France,Montpellier,53.02,78.5,49.7,52.47,46.36,54.69,52.47,62.79,34.88,69.19,62.2,38.32,35.8,69.26,40.8,46,February 2020,52139,47861,43.611242,3.876734
Italy,Florence,36.32,65.79,42.81,40.23,29.58,45.15,33.13,30.83,23.31,49.58,47.61,30.81,50,80.71,52.49,62,March 2020,39094,60906,43.769871,11.255576
United Kingdom,Edinburgh,30.38,50,29.2,25,21.7,28.17,29.2,35.78,18.46,48.54,43.6,29.35,25,84.63,63.67,162,February 2020,30991,69009,55.949563,-3.191497
United States,Minneapolis| MN,58.77,65.99,47.99,47.39,39.51,55.09,44.96,44.95,35.65,55.28,57.08,52.65,41.28,70.87,40.18,115,February 2020,50181,49819,44.947581,-93.299245
Australia,Sydney,36.19,50.31,29.77,28.74,23.53,31,32.98,35.72,25.88,44.34,40.85,33.16,31.06,79.55,55.15,558,March 2020,34189,65811,-33.854816,151.216454
Canada,Victoria,36.1,63.66,28.12,20.89,20.5,41.4,22.83,34.17,11.88,63.12,46.45,26.37,21.01,85.62,59.56,128,February 2020,33148,66852,48.428318,-123.364953
Pakistan,Karachi,63.07,37.47,46.07,63.2,53.14,54.55,44.85,38.44,30.6,51.88,59.03,64.45,80.6,54.62,32.19,483,March 2020,54511,45489,24.86678,67.031129
United States,Brooklyn| NY,40.91,44.57,34.66,37.22,32.22,37.78,33.89,36.88,21.95,45.12,43.89,41.67,41.46,83.7,60.87,46,February 2020,37028,62972,40.639107,-73.938554
Brazil,Porto Alegre,90.13,89.03,58,87,83.24,79.93,66.49,42.23,20.21,76.68,82,91.94,88.71,33.36,8.9,278,March 2020,76094,23906,-30.0325,-51.230377
New Zealand,Wellington,27.68,51.18,27.63,17.63,22.78,35.66,25.22,29.29,20.96,42.82,36.07,27.34,17.35,85.12,58.24,106,February 2020,29036,70964,-41.288764,174.777224
Canada,Guelph,21.98,57.98,31.02,24.12,24.64,36.34,27.25,33.15,14.13,58.15,42.87,25.17,23.91,85.58,65.27,48,February 2020,30225,69775,43.546557,-80.249977
Malaysia,Kuala Lumpur,70.46,73.55,65.92,70.92,63.23,68.91,60.91,50.83,46.3,59.5,69.65,67.52,82.6,51.06,25.62,687,February 2020,65561,34439,3.154687,101.713636
United States,Milwaukee| WI,78.72,81.42,61.33,63,59.12,67.23,61.33,55.15,52.46,78.87,74.32,70.89,49.3,61,24.67,75,February 2020,66171,33829,42.946704,-87.910885
Canada,Waterloo,26.66,56.4,27.98,26.59,19.38,31.88,23.23,25.5,14.5,34.31,32.7,27.04,19,86,65.72,54,March 2020,27457,72543,43.466874,-80.524635
United Kingdom,Bristol,42.62,57.38,34.39,33.18,27.94,36.81,31.97,40,25.42,64.17,46.73,34.8,27.16,81.97,50.92,62,March 2020,38525,61475,51.453802,-2.597298
Israel,Tel Aviv-Yafo,22.72,52.57,27.96,16.73,22.36,27.99,20.45,27.2,18.21,25.41,31.23,18.37,45.36,87.48,75.37,194,February 2020,25832,74168,32.080481,34.780527
Ecuador,Cuenca,40.83,46.46,40.72,44,29.47,42.7,33.76,24.11,13.84,41.04,53.43,37.45,55,82.94,50.15,61,March 2020,38316,61684,-2.866691,-79.193334
United States,Denver| CO,46.11,67.05,37.69,32.09,35.08,46.51,32.56,36.79,25.21,57.72,50.2,41.67,34.58,79.49,51.15,130,March 2020,41461,58539,39.734838,-104.965327
Brazil,Florianopolis,65.13,82.89,49.03,58.77,55.59,64.67,45.72,34.38,18.75,59.15,60.86,61.36,72.18,67.21,35.06,77,February 2020,56263,43737,-27.5973,-48.54961
United States,Washington| DC,67.98,61.63,52.93,56.89,49.6,62.1,55.65,55.93,42.44,61.46,60.8,59.92,55.12,66.28,39.84,135,March 2020,57194,42806,38.894955,-77.036646
Spain,Barcelona,48.16,71.16,42.86,51.02,28.99,44.93,38.11,36.6,25,53.69,56.85,36.73,53.63,75.06,51.44,364,February 2020,44562,55438,41.382894,2.177432
United States,Raleigh| NC,37.72,62.5,33.9,27.54,27.97,41.53,26.69,30.66,18.75,37.96,36.44,36.02,30.66,80.93,64.83,59,February 2020,34001,65999,35.81196,-78.712991
Germany,Nuremberg,31.05,62.75,31.39,28.2,21.74,26.56,35.07,37.96,29.02,46.43,41.91,26.97,24.52,80.85,62.73,63,February 2020,33064,66936,49.453872,11.077298
Canada,Kitchener,43.33,72.02,32.73,29.78,24.68,45.43,32.23,35.29,15.87,61.54,49.68,33.02,29.33,79.53,52.37,57,February 2020,38805,61195,43.453168,-80.494423
United States,Baltimore| MD,86.58,76.32,65.16,73.96,65.62,77.32,72.42,67.93,58.87,86.26,78.91,82.55,70.05,46.13,18.3,97,March 2020,74746,25254,39.255674,-76.61718
Canada,Saskatoon,59.46,70.21,42.74,40.21,34.92,59.18,42.74,42.69,28.12,60.23,63.03,55.43,32.69,73.18,37.67,69,March 2020,49395,50605,52.131802,-106.660767
United States,Omaha| NE,57.29,69.79,46.35,39.89,38.59,48.94,40.1,30.36,30.11,58.33,54.17,51.04,32.56,85.11,45.21,48,February 2020,45987,54013,41.258732,-95.937873
Netherlands,Groningen,18.28,57.26,23.63,15.29,8,15.42,19.88,14.13,14.13,44.44,30.92,15.09,11.96,90.29,75.71,48,February 2020,21117,78883,53.221793,6.558245
United States,Oakland| CA,75.68,59.12,65.67,68.67,59.67,74.33,57.88,59.03,41.2,76.76,77.36,71,47.18,56.67,23,75,February 2020,65014,34986,37.770446,-122.219656
Italy,Milan,44.71,61.14,43.32,41.51,36.49,48.4,35.43,29.87,22.17,50.76,54.05,33.14,67.9,79.53,48.43,276,March 2020,42962,57038,45.466797,9.190498
Canada,Burlington,16.29,50.7,25.18,18.51,24.63,34.49,17.79,19.32,20.35,31.4,29.07,21.84,18.02,86.34,78.36,47,February 2020,23263,76737,43.324892,-79.796683
Philippines,Makati,43.58,36.51,45.96,54.01,35.92,37.9,39.73,38.53,16.47,51.74,45.68,39.29,61.34,77.62,59.01,92,February 2020,41011,58989,14.554595,121.021408
United States,Detroit| MI,80.57,69.64,73.21,70.56,72.62,73.95,68.86,68.04,62.9,79.78,80,77.88,74.03,41.22,23.96,173,February 2020,73412,26588,42.348664,-83.056737
Australia,Darwin,61.41,71,56.89,38.24,50.73,54.7,53.4,62.34,41.46,58.33,67.09,53.1,42.09,61.89,29.83,85,February 2020,55405,44595,-12.46044,130.841047
United Kingdom,Birmingham,64.12,68.11,50.74,56.98,48.65,52.25,58.31,59.13,46.83,70.83,62.38,59.02,40.29,58.81,32.87,133,February 2020,57306,42694,52.47754,-1.894053
Russia,Moscow,39.68,43.82,30.23,34.55,35.96,42.42,40.1,40.38,32.16,39.93,46.52,33.36,75.95,79.76,51.62,776,March 2020,40179,59821,55.750718,37.617661
United States,Pittsburgh| PA,43.42,55.7,33.93,35,25.45,40.35,35.96,34.62,21.63,50.49,45.45,39.73,32.14,78.57,57.02,57,February 2020,37948,62052,40.43587,-79.959646
Canada,Surrey,71.2,69.96,54.77,54.77,55.49,65.84,55.25,57.47,40.56,80.81,67.63,59.38,48.2,58.41,29.77,103,February 2020,60915,39085,49.185294,-122.846375
United States,Las Vegas| NV,65.7,69.63,54.83,49.79,46.82,56.68,47.67,47.12,32.59,69.35,66.88,62.5,52.88,66.74,39.17,124,March 2020,55761,44239,36.145217,-115.228001
Philippines,Iloilo,44.34,42.49,49.44,47.03,42.86,44.07,44.74,39.86,33.41,52.08,50.1,48.14,48.62,66.04,56.99,116,February 2020,44284,55716,10.95346,122.575633
India,Surat,36.32,48.06,39.79,36.02,27.91,33.32,30.58,33.8,22.57,30.82,41.54,33.64,53.52,77.2,66.44,79,February 2020,35111,64889,21.186461,72.808128
United Kingdom,Sheffield,44.01,61.46,42.12,40.7,32.35,36.42,38.35,42.16,29.9,46.08,48.25,36.93,25.49,74.67,48.72,53,March 2020,40521,59479,53.380663,-1.470228
Croatia,Zagreb,15.74,43.61,19.59,13.93,15.26,21.13,15.92,17.98,16.76,24.3,27.58,18.11,68.19,93.33,79.99,375,March 2020,22133,77867,45.813177,15.977048
India,Lucknow (Lakhnau),55.2,63.18,51.51,54.42,47.71,54.23,48.25,48.26,39.88,47.09,62.38,53.77,76.11,61.59,41.73,50,February 2020,53475,46525,26.8381,80.9346
Poland,Poznan,24.66,40.86,20.73,22.2,28.23,29.73,25.39,26.92,31.72,25,39.1,17.27,43.66,86.8,66.8,71,February 2020,27717,72283,52.408266,16.93352
India,Delhi,67.6,66.56,53.77,56.55,56.04,58.01,56.16,52.88,37.79,46.75,58.35,56.09,82,58.82,28.57,512,March 2020,58609,41391,28.651718,77.221939
China,Shanghai,31.19,52.01,34.41,33.78,32.73,35.98,30.96,36.82,31.96,34.73,41.14,31.37,61.11,72.61,62.91,254,March 2020,36179,63821,31.225344,121.488892
United States,Kansas City| MO,72.58,76.95,56.15,52.87,45.56,67.86,55.65,48.33,42.37,65.83,70.34,66.53,51.72,70.97,30.95,64,February 2020,59764,40236,39.244338,-94.488021
United States,Saint Louis| MO,82.99,79.29,56.5,69.5,61.75,73.74,66.25,61.2,54.69,81.91,78.35,79,58.68,54.21,20.79,101,February 2020,70284,29716,38.570062,-90.285151
Canada,Mississauga,44.41,72.9,41.12,38.84,35.67,40.62,38.77,38.54,25.73,53.78,47.28,43.61,35.29,74.27,50.18,221,March 2020,42408,57592,43.590338,-79.645729
Australia,Perth,46.31,65.43,45.21,35.49,31.78,43.37,41.65,43.09,25,55.5,53.07,40,31.38,75.95,41.79,366,February 2020,43068,56932,-31.952712,115.86048
Canada,Ottawa,24.09,57.66,22.28,19,15.73,29.28,21.11,24.78,12.67,41.15,34.25,25.28,22.53,88.88,68.92,238,March 2020,25894,74106,45.421106,-75.690308
India,Noida,71.5,66.6,56.63,63.4,60.9,61.94,59.39,53.77,30.45,45.91,65.75,65.33,78.12,52.12,27.08,63,February 2020,61382,38618,28.572644,77.354761
Australia,Townsville,61.82,71.98,55.08,44.27,53.61,53.73,43.72,49.29,35.74,62.95,61.5,47.99,28.85,62.18,35.75,149,March 2020,52720,47280,-19.256939,146.823954
Australia,Newcastle,40.81,49.37,32.87,30.37,23.33,34.56,37.62,41.28,22.67,64.67,51.48,38.69,37.79,71.44,45.46,51,February 2020,39425,60575,-32.927288,151.781253
United States,Tucson| AZ,60.71,63.89,52.73,40.08,46.48,54.37,41.02,37.5,31.03,61.21,63.52,51.19,52.16,73.02,45.31,64,February 2020,50528,49472,32.541082,-111.120364
Switzerland,Geneva,28.53,59.32,35.5,23.07,17.59,29.41,24.08,20.92,17.78,45.71,39.53,20.82,27.37,87.44,66.9,103,February 2020,28962,71038,46.201756,6.146601
United States,San Francisco| CA,59.76,65.98,46.95,48.56,47.68,69.61,48.08,59.72,28.16,71.11,69.23,50.48,37.24,71.15,42.39,208,February 2020,53444,46556,37.830285,-122.479795
Romania,Timisoara,16.98,36.86,23.51,19.47,16.6,33.36,18.53,23.48,12.2,24.09,28.91,13,63.25,86.86,73.23,88,February 2020,23771,76229,45.758888,21.221485
United Kingdom,Newcastle upon Tyne,43,58.15,37.97,31.72,31.07,39.62,36.18,40.41,23.63,51.35,50.78,37,22.64,80.91,51.42,79,February 2020,38658,61342,54.977092,-1.614206
United States,Jacksonville| FL,71.19,72.5,54.66,50.83,43.33,57.63,48.73,45.18,32.89,71.05,61.44,61.67,49.11,65.57,24.17,61,February 2020,57226,42774,30.321389,-81.663718
Netherlands,Eindhoven,22.71,55.32,36.38,17.44,18.86,26.91,19.34,25.4,15.73,31.35,36.38,19.34,13.31,85.25,65.17,66,February 2020,25498,74502,51.448557,5.450123
Turkey,Eskisehir,16.27,38.93,20.1,20.02,16.39,17.32,20.18,16.53,9.48,22.81,18.62,15.88,18.22,88.93,79.16,64,February 2020,18541,81459,39.768856,30.521647
India,Hyderabad,42.79,51.67,43.41,41.5,37.87,42.62,38.81,39.96,32.85,42.32,48.74,40.62,72.5,72.54,53.8,273,February 2020,43229,56771,17.388607,78.46081
