City,CrimeIndex,Year,latitude,longitude
"Rome, Italy",66.13,2012,41.894802,12.485338
"Birmingham, United Kingdom",64.84,2012,52.47754,-1.894053
"Athens, Greece",60.13,2012,37.984149,23.727984
"London, United Kingdom",59.87,2012,51.507322,-0.127647
"Geneva, Switzerland",57.81,2012,46.201756,6.146601
"Nottingham, United Kingdom",57.81,2012,52.953416,-1.149277
"Brussels, Belgium",57.03,2012,50.846557,4.351697
"Dublin, Ireland",55.91,2012,53.349765,-6.260273
"Kiev (Kyiv), Ukraine",54.43,2012,50.450107,30.52405
"Milan, Italy",53.18,2012,45.466797,9.190498
"Moscow, Russia",52.67,2012,55.750718,37.617661
"Vienna, Austria",51.82,2012,48.208354,16.372504
"Thessaloniki, Greece",49.48,2012,40.640317,22.935272
"Sofia, Bulgaria",48.44,2012,42.697863,23.322179
"Paris, France",47.61,2012,48.85661,2.351499
"Bratislava, Slovakia",47.40,2012,48.135909,17.159744
"Copenhagen, Denmark",45.31,2012,55.686724,12.570072
"Barcelona, Spain",45.00,2012,41.382894,2.177432
"Lisbon, Portugal",41.65,2012,38.707751,-9.136592
"Krakow (Cracow), Poland",41.15,2012,50.060674,19.937139
"Prague, Czech Republic",40.30,2012,50.087465,14.421254
"Warsaw, Poland",39.43,2012,52.231924,21.006727
"Constanta, Romania",38.28,2012,44.172417,28.62082
"Brighton, United Kingdom",37.50,2012,50.82204,-0.137406
"Zagreb, Croatia",35.96,2012,45.813177,15.977048
"Ljubljana, Slovenia",35.71,2012,46.049865,14.506892
"Tirana, Albania",35.42,2012,41.327946,19.818532
"Porto, Portugal",34.77,2012,41.149451,-8.610788
"Banja Luka, Bosnia And Herzegovina",34.11,2012,44.771982,17.189893
"Reykjavik, Iceland",33.33,2012,64.145981,-21.942237
"Brno, Czech Republic",32.16,2012,49.192244,16.611338
"Belgrade, Serbia",31.38,2012,44.817813,20.456897
"Budapest, Hungary",29.84,2012,47.498382,19.040471
"Hamburg, Germany",28.91,2012,53.550341,10.000654
"Bucharest, Romania",28.12,2012,44.436141,26.10272
"Stockholm, Sweden",26.56,2012,59.325117,18.071094
"Tallinn, Estonia",25.00,2012,59.437216,24.745369
"Cork, Ireland",25.00,2012,51.897928,-8.470581
"Cluj-Napoca, Romania",23.96,2012,46.769337,23.59006
"Cologne, Germany",23.44,2012,50.938361,6.959974
"Berlin, Germany",22.66,2012,52.517037,13.38886
"Amsterdam, Netherlands",22.50,2012,52.37454,4.897976
"Trondheim, Norway",21.81,2012,63.430566,10.395193
"Madrid, Spain",21.65,2012,40.416705,-3.703582
"Sliema, Malta",20.31,2012,35.912761,14.502071
"Frankfurt, Germany",19.84,2012,50.110644,8.682092
"Coimbra, Portugal",18.75,2012,40.21098,-8.429206
"Oslo, Norway",17.97,2012,59.913269,10.739111
"Zurich, Switzerland",16.15,2012,47.372396,8.542322
"Munich, Germany",13.44,2012,48.137108,11.575382
"Stuttgart, Germany",8.33,2012,48.778449,9.180013
"Rotterdam, Netherlands",74.27,2013,51.927798,4.488623
"Lodz, Poland",64.51,2013,51.768732,19.456991
"Rome, Italy",62.34,2013,41.894802,12.485338
"Athens, Greece",57.49,2013,37.984149,23.727984
"Bordeaux, France",57.29,2013,44.841225,-0.580036
"Saint Petersburg, Russia",56.96,2013,59.938732,30.316229
"Naples, Italy",56.67,2013,40.835934,14.248783
"Milan, Italy",56.20,2013,45.466797,9.190498
"Monaco, Monaco",54.69,2013,43.731142,7.419758
"Geneva, Switzerland",54.36,2013,46.201756,6.146601
"Kiev (Kyiv), Ukraine",54.19,2013,50.450107,30.52405
"Novi Sad, Serbia",53.91,2013,45.255134,19.845176
"Palermo, Italy",53.83,2013,38.111227,13.352443
"Brussels, Belgium",53.79,2013,50.846557,4.351697
"Kharkiv, Ukraine",53.75,2013,49.991425,36.272266
"Paris, France",53.75,2013,48.85661,2.351499
"Moscow, Russia",53.19,2013,55.750718,37.617661
"Turin, Italy",52.92,2013,45.067755,7.682489
"Catania, Italy",51.56,2013,37.502236,15.08738
"Sarajevo, Bosnia And Herzegovina",51.08,2013,43.851977,18.386687
"Lviv, Ukraine",50.52,2013,49.841952,24.031592
"London, United Kingdom",50.14,2013,51.507322,-0.127647
"Newcastle upon Tyne, United Kingdom",49.22,2013,54.977092,-1.614206
"Novosibirsk, Russia",48.83,2013,55.028217,82.923451
"Dublin, Ireland",48.31,2013,53.349765,-6.260273
"Sofia, Bulgaria",48.26,2013,42.697863,23.322179
"Tirana, Albania",47.99,2013,41.327946,19.818532
"Birmingham, United Kingdom",47.51,2013,52.47754,-1.894053
"Toulouse, France",47.27,2013,43.604462,1.444247
"Innsbruck, Austria",46.35,2013,47.26543,11.392769
"Nottingham, United Kingdom",44.38,2013,52.953416,-1.149277
"Alicante, Spain",44.01,2013,38.353738,-0.490185
"Riga, Latvia",43.57,2013,56.949398,24.105185
"Bristol, United Kingdom",42.71,2013,51.453802,-2.597298
"Chisinau, Moldova",41.67,2013,47.012274,28.860594
"Thessaloniki, Greece",41.64,2013,40.640317,22.935272
"Barcelona, Spain",41.47,2013,41.382894,2.177432
"Helsinki, Finland",40.96,2013,60.167409,24.942568
"Galway, Ireland",40.78,2013,53.274412,-9.049063
"Faro, Portugal",40.16,2013,37.053757,-7.931937
"Lisbon, Portugal",40.08,2013,38.707751,-9.136592
"Florence, Italy",39.58,2013,43.769871,11.255576
"Madrid, Spain",39.34,2013,40.416705,-3.703582
"Belgrade, Serbia",37.97,2013,44.817813,20.456897
"Skopje, North Macedonia",37.89,2013,41.996092,21.43165
"Porto, Portugal",37.51,2013,41.149451,-8.610788
"Limerick, Ireland",36.85,2013,52.661252,-8.630124
"Varna, Bulgaria",36.46,2013,43.206903,27.915086
"Cagliari, Italy",36.46,2013,39.216953,9.112851
"Cork, Ireland",35.83,2013,51.897928,-8.470581
"Constanta, Romania",35.81,2013,44.172417,28.62082
"Gothenburg, Sweden",35.75,2013,57.707233,11.967017
"Kaunas, Lithuania",35.68,2013,54.898214,23.904482
"Lausanne, Switzerland",35.55,2013,46.521827,6.632703
"Oslo, Norway",35.53,2013,59.913269,10.739111
"Brno, Czech Republic",34.68,2013,49.192244,16.611338
"Prague, Czech Republic",34.54,2013,50.087465,14.421254
"Wroclaw, Poland",34.38,2013,51.108978,17.032669
"Bratislava, Slovakia",34.38,2013,48.135909,17.159744
"Budapest, Hungary",34.18,2013,47.498382,19.040471
"Belfast, United Kingdom",34.06,2013,54.596987,-5.930099
"Malmo, Sweden",33.97,2013,55.605293,13.000157
"Bucharest, Romania",33.41,2013,44.436141,26.10272
"Brighton, United Kingdom",33.12,2013,50.82204,-0.137406
"Ljubljana, Slovenia",32.94,2013,46.049865,14.506892
"Krakow (Cracow), Poland",32.86,2013,50.060674,19.937139
"Copenhagen, Denmark",32.39,2013,55.686724,12.570072
"Odessa (Odesa), Ukraine",32.29,2013,46.484658,30.732564
"Zagreb, Croatia",32.29,2013,45.813177,15.977048
"Iasi, Romania",32.19,2013,47.161494,27.58405
"Warsaw, Poland",32.03,2013,52.231924,21.006727
"Poznan, Poland",31.77,2013,52.408266,16.93352
"Edinburgh, United Kingdom",30.51,2013,55.949563,-3.191497
"Eindhoven, Netherlands",30.47,2013,51.448557,5.450123
"Amsterdam, Netherlands",29.76,2013,52.37454,4.897976
"Seville (Sevilla), Spain",29.06,2013,37.38863,-5.995317
"Leeds, United Kingdom",28.91,2013,53.797419,-1.543794
"Banja Luka, Bosnia And Herzegovina",28.85,2013,44.771982,17.189893
"Liverpool, United Kingdom",28.70,2013,53.405472,-2.980539
"Antwerp, Belgium",28.28,2013,51.22111,4.399708
"Nuremberg, Germany",28.13,2013,49.453872,11.077298
"Basel, Switzerland",28.12,2013,47.558108,7.587826
"Vilnius, Lithuania",27.93,2013,54.687046,25.282911
"Gdansk, Poland",27.60,2013,54.347628,18.645203
"Frankfurt, Germany",27.55,2013,50.110644,8.682092
"Vienna, Austria",27.45,2013,48.208354,16.372504
"Cologne, Germany",27.08,2013,50.938361,6.959974
"Tallinn, Estonia",26.92,2013,59.437216,24.745369
"Minsk, Belarus",26.82,2013,53.902334,27.561879
"Cluj-Napoca, Romania",26.12,2013,46.769337,23.59006
"Valencia, Spain",26.04,2013,39.469901,-0.375951
"Santa Cruz de Tenerife, Spain",26.04,2013,28.459782,-16.253638
"Stockholm, Sweden",25.62,2013,59.325117,18.071094
"Hamburg, Germany",25.52,2013,53.550341,10.000654
"Bath, United Kingdom",24.22,2013,51.381386,-2.359696
"Berlin, Germany",24.18,2013,52.517037,13.38886
"Stuttgart, Germany",23.96,2013,48.778449,9.180013
"Reykjavik, Iceland",23.52,2013,64.145981,-21.942237
"Sliema, Malta",22.19,2013,35.912761,14.502071
"Trieste, Italy",21.48,2013,45.650034,13.770656
"Stavanger, Norway",20.83,2013,58.968043,5.732472
"Brasov, Romania",20.31,2013,45.652309,25.610275
"Trondheim, Norway",19.80,2013,63.430566,10.395193
"Nis, Serbia",19.27,2013,43.321504,21.89573
"Timisoara, Romania",19.14,2013,45.758888,21.221485
"Luxembourg, Luxembourg",18.75,2013,49.815868,6.129675
"Coimbra, Portugal",18.12,2013,40.21098,-8.429206
"Oradea, Romania",17.97,2013,47.056927,21.932605
"Bergen, Norway",16.67,2013,60.394353,5.325551
"Zurich, Switzerland",15.35,2013,47.372396,8.542322
"Munich, Germany",15.34,2013,48.137108,11.575382
"Bern, Switzerland",11.59,2013,46.948271,7.451451
"Lugano, Switzerland",9.84,2013,46.00501,8.952028
"Marbella, Spain",9.11,2013,36.508976,-4.88562
"Rotterdam, Netherlands",63.25,2014,51.927798,4.488623
"Lodz, Poland",62.63,2014,51.768732,19.456991
"Newcastle upon Tyne, United Kingdom",62.35,2014,54.977092,-1.614206
"Marseille, France",60.69,2014,43.296174,5.369953
"Donetsk, Ukraine",60.62,2014,48.015875,37.801341
"Dublin, Ireland",60.25,2014,53.349765,-6.260273
"Rome, Italy",59.37,2014,41.894802,12.485338
"Skopje, North Macedonia",57.48,2014,41.996092,21.43165
"Nice, France",56.56,2014,43.700936,7.268391
"Naples, Italy",54.82,2014,40.835934,14.248783
"Turin, Italy",54.43,2014,45.067755,7.682489
"Moscow, Russia",53.54,2014,55.750718,37.617661
"Saint Petersburg, Russia",53.33,2014,59.938732,30.316229
"Paris, France",52.61,2014,48.85661,2.351499
"Athens, Greece",52.35,2014,37.984149,23.727984
"Manchester, United Kingdom",52.25,2014,53.47913,-2.244101
"Milan, Italy",52.24,2014,45.466797,9.190498
"Sarajevo, Bosnia And Herzegovina",51.96,2014,43.851977,18.386687
"Catania, Italy",51.56,2014,37.502236,15.08738
"Kharkiv, Ukraine",51.37,2014,49.991425,36.272266
"Brussels, Belgium",51.35,2014,50.846557,4.351697
"Birmingham, United Kingdom",51.23,2014,52.47754,-1.894053
"Kiev (Kyiv), Ukraine",50.76,2014,50.450107,30.52405
"Novi Sad, Serbia",50.63,2014,45.255134,19.845176
"Toulouse, France",50.59,2014,43.604462,1.444247
"Odessa (Odesa), Ukraine",50.16,2014,46.484658,30.732564
"Tirana, Albania",49.39,2014,41.327946,19.818532
"Nottingham, United Kingdom",49.17,2014,52.953416,-1.149277
"Szczecin, Poland",48.12,2014,53.430182,14.550962
"Lucerne, Switzerland",46.72,2014,47.050545,8.305468
"Bordeaux, France",46.61,2014,44.841225,-0.580036
"Cardiff, United Kingdom",46.48,2014,51.481655,-3.179193
"Chisinau, Moldova",46.32,2014,47.012274,28.860594
"Sofia, Bulgaria",45.76,2014,42.697863,23.322179
"London, United Kingdom",45.74,2014,51.507322,-0.127647
"Lausanne, Switzerland",45.28,2014,46.521827,6.632703
"Leeds, United Kingdom",45.27,2014,53.797419,-1.543794
"Geneva, Switzerland",44.80,2014,46.201756,6.146601
"Riga, Latvia",44.41,2014,56.949398,24.105185
"Galway, Ireland",43.40,2014,53.274412,-9.049063
"Stockholm, Sweden",43.35,2014,59.325117,18.071094
"Vladivostok, Russia",42.19,2014,43.115068,131.885577
"Sochi, Russia",42.19,2014,43.585482,39.723109
"Oslo, Norway",41.65,2014,59.913269,10.739111
"Lviv, Ukraine",41.22,2014,49.841952,24.031592
"Barcelona, Spain",40.87,2014,41.382894,2.177432
"Lyon, France",40.83,2014,45.757814,4.832011
"Novosibirsk, Russia",40.80,2014,55.028217,82.923451
"Faro, Portugal",40.16,2014,37.053757,-7.931937
"Alicante, Spain",40.00,2014,38.353738,-0.490185
"Krakow (Cracow), Poland",39.76,2014,50.060674,19.937139
"Porto, Portugal",39.71,2014,41.149451,-8.610788
"Bratislava, Slovakia",39.51,2014,48.135909,17.159744
"Bristol, United Kingdom",39.45,2014,51.453802,-2.597298
"Dnipro, Ukraine",39.30,2014,48.468022,35.041771
"Aveiro, Portugal",38.83,2014,40.640496,-8.653784
"Lisbon, Portugal",38.67,2014,38.707751,-9.136592
"Budapest, Hungary",38.42,2014,47.498382,19.040471
"Ufa, Russia",38.33,2014,54.726288,55.947727
"Oulu, Finland",38.12,2014,65.011873,25.471681
"Malaga, Spain",38.12,2014,36.721303,-4.421637
"Hamburg, Germany",37.85,2014,53.550341,10.000654
"Antwerp, Belgium",37.83,2014,51.22111,4.399708
"Gdansk, Poland",36.93,2014,54.347628,18.645203
"Belfast, United Kingdom",36.58,2014,54.596987,-5.930099
"Poznan, Poland",36.55,2014,52.408266,16.93352
"Madrid, Spain",36.12,2014,40.416705,-3.703582
"Belgrade, Serbia",36.04,2014,44.817813,20.456897
"Brighton, United Kingdom",35.64,2014,50.82204,-0.137406
"Basel, Switzerland",35.08,2014,47.558108,7.587826
"Gothenburg, Sweden",34.92,2014,57.707233,11.967017
"Brno, Czech Republic",34.87,2014,49.192244,16.611338
"Ljubljana, Slovenia",34.59,2014,46.049865,14.506892
"Wroclaw, Poland",34.58,2014,51.108978,17.032669
"Warsaw, Poland",34.44,2014,52.231924,21.006727
"Nis, Serbia",34.41,2014,43.321504,21.89573
"Helsinki, Finland",34.27,2014,60.167409,24.942568
"Amsterdam, Netherlands",34.06,2014,52.37454,4.897976
"Bologna, Italy",33.85,2014,44.493671,11.343035
"Banja Luka, Bosnia And Herzegovina",33.67,2014,44.771982,17.189893
"Cologne, Germany",33.61,2014,50.938361,6.959974
"Patras, Greece",33.59,2014,38.246242,21.735085
"Innsbruck, Austria",33.44,2014,47.26543,11.392769
"Malmo, Sweden",33.12,2014,55.605293,13.000157
"Reykjavik, Iceland",32.79,2014,64.145981,-21.942237
"Nijmegen, Netherlands",32.73,2014,51.842602,5.83852
"Prague, Czech Republic",32.63,2014,50.087465,14.421254
"Zagreb, Croatia",32.61,2014,45.813177,15.977048
"Thessaloniki, Greece",32.43,2014,40.640317,22.935272
"Bucharest, Romania",31.89,2014,44.436141,26.10272
"Luxembourg, Luxembourg",31.88,2014,49.815868,6.129675
"Tallinn, Estonia",31.09,2014,59.437216,24.745369
"Copenhagen, Denmark",30.63,2014,55.686724,12.570072
"Constanta, Romania",30.38,2014,44.172417,28.62082
"Vienna, Austria",29.91,2014,48.208354,16.372504
"Vilnius, Lithuania",29.17,2014,54.687046,25.282911
"Monaco, Monaco",29.01,2014,43.731142,7.419758
"Valencia, Spain",28.91,2014,39.469901,-0.375951
"Cork, Ireland",28.87,2014,51.897928,-8.470581
"Edinburgh, United Kingdom",28.36,2014,55.949563,-3.191497
"Iasi, Romania",28.01,2014,47.161494,27.58405
"Berlin, Germany",27.75,2014,52.517037,13.38886
"Oradea, Romania",27.66,2014,47.056927,21.932605
"Frankfurt, Germany",27.52,2014,50.110644,8.682092
"Lugano, Switzerland",25.68,2014,46.00501,8.952028
"Marbella, Spain",25.49,2014,36.508976,-4.88562
"Lublin, Poland",25.00,2014,51.250559,22.570102
"Minsk, Belarus",24.01,2014,53.902334,27.561879
"Eindhoven, Netherlands",23.77,2014,51.448557,5.450123
"Split, Croatia",23.21,2014,43.511556,16.43968
"Cluj-Napoca, Romania",22.73,2014,46.769337,23.59006
"Gent, Belgium",22.29,2014,51.053829,3.725012
"Trieste, Italy",22.14,2014,45.650034,13.770656
"Zurich, Switzerland",21.10,2014,47.372396,8.542322
"Seville (Sevilla), Spain",20.47,2014,37.38863,-5.995317
"Stavanger, Norway",20.00,2014,58.968043,5.732472
"Trondheim, Norway",19.80,2014,63.430566,10.395193
"Stuttgart, Germany",19.14,2014,48.778449,9.180013
"Heidelberg, Germany",19.01,2014,49.409358,8.694724
"Sliema, Malta",18.34,2014,35.912761,14.502071
"Coimbra, Portugal",18.12,2014,40.21098,-8.429206
"Munich, Germany",16.85,2014,48.137108,11.575382
"Timisoara, Romania",16.55,2014,45.758888,21.221485
"Leiden, Netherlands",15.94,2014,52.151816,4.481109
"Bergen, Norway",15.73,2014,60.394353,5.325551
"Bern, Switzerland",15.68,2014,46.948271,7.451451
"Subotica, Serbia",74.06,2014.05.00,46.100013,19.664097
"Milton Keynes, United Kingdom",70.54,2014.05.00,52.04298,-0.758961
"Rotterdam, Netherlands",64.91,2014.05.00,51.927798,4.488623
"Turin, Italy",61.65,2014.05.00,45.067755,7.682489
"Naples, Italy",61.30,2014.05.00,40.835934,14.248783
"Donetsk, Ukraine",60.62,2014.05.00,48.015875,37.801341
"Dublin, Ireland",56.94,2014.05.00,53.349765,-6.260273
"Tirana, Albania",56.46,2014.05.00,41.327946,19.818532
"Marseille, France",56.32,2014.05.00,43.296174,5.369953
"Vicenza, Italy",56.09,2014.05.00,45.548831,11.547883
"Rome, Italy",55.73,2014.05.00,41.894802,12.485338
"Kharkiv, Ukraine",54.79,2014.05.00,49.991425,36.272266
"Paris, France",54.42,2014.05.00,48.85661,2.351499
"Brussels, Belgium",54.04,2014.05.00,50.846557,4.351697
"Sarajevo, Bosnia And Herzegovina",53.76,2014.05.00,43.851977,18.386687
"Nice, France",53.65,2014.05.00,43.700936,7.268391
"Moscow, Russia",53.55,2014.05.00,55.750718,37.617661
"Odessa (Odesa), Ukraine",53.16,2014.05.00,46.484658,30.732564
"Milan, Italy",52.90,2014.05.00,45.466797,9.190498
"Newcastle upon Tyne, United Kingdom",52.23,2014.05.00,54.977092,-1.614206
"Novi Sad, Serbia",51.72,2014.05.00,45.255134,19.845176
"Athens, Greece",51.46,2014.05.00,37.984149,23.727984
"Kiev (Kyiv), Ukraine",50.59,2014.05.00,50.450107,30.52405
"Saint Petersburg, Russia",50.16,2014.05.00,59.938732,30.316229
"Catania, Italy",50.01,2014.05.00,37.502236,15.08738
"Chisinau, Moldova",48.95,2014.05.00,47.012274,28.860594
"Manchester, United Kingdom",48.87,2014.05.00,53.47913,-2.244101
"Glasgow, United Kingdom",48.46,2014.05.00,55.856656,-4.243582
"Szczecin, Poland",48.12,2014.05.00,53.430182,14.550962
"Lucerne, Switzerland",46.72,2014.05.00,47.050545,8.305468
"Stockholm, Sweden",46.68,2014.05.00,59.325117,18.071094
"Birmingham, United Kingdom",46.39,2014.05.00,52.47754,-1.894053
"Sofia, Bulgaria",46.26,2014.05.00,42.697863,23.322179
"London, United Kingdom",46.24,2014.05.00,51.507322,-0.127647
"Skopje, North Macedonia",45.31,2014.05.00,41.996092,21.43165
"Lausanne, Switzerland",45.28,2014.05.00,46.521827,6.632703
"Antwerp, Belgium",44.69,2014.05.00,51.22111,4.399708
"Dnipro, Ukraine",44.49,2014.05.00,48.468022,35.041771
"Bordeaux, France",44.08,2014.05.00,44.841225,-0.580036
"Granada, Spain",43.44,2014.05.00,37.18302,-3.602192
"Nottingham, United Kingdom",43.17,2014.05.00,52.953416,-1.149277
"Barcelona, Spain",43.06,2014.05.00,41.382894,2.177432
"Belfast, United Kingdom",42.98,2014.05.00,54.596987,-5.930099
"Oslo, Norway",42.61,2014.05.00,59.913269,10.739111
"Porto, Portugal",42.37,2014.05.00,41.149451,-8.610788
"Lodz, Poland",42.34,2014.05.00,51.768732,19.456991
"Sochi, Russia",42.19,2014.05.00,43.585482,39.723109
"Gothenburg, Sweden",42.17,2014.05.00,57.707233,11.967017
"Leeds, United Kingdom",42.10,2014.05.00,53.797419,-1.543794
"Oulu, Finland",41.43,2014.05.00,65.011873,25.471681
"Lviv, Ukraine",41.22,2014.05.00,49.841952,24.031592
"Riga, Latvia",40.85,2014.05.00,56.949398,24.105185
"Novosibirsk, Russia",40.80,2014.05.00,55.028217,82.923451
"Faro, Portugal",40.16,2014.05.00,37.053757,-7.931937
"Geneva, Switzerland",40.08,2014.05.00,46.201756,6.146601
"Krakow (Cracow), Poland",40.07,2014.05.00,50.060674,19.937139
"Alicante, Spain",39.84,2014.05.00,38.353738,-0.490185
"Vladivostok, Russia",39.84,2014.05.00,43.115068,131.885577
"Budapest, Hungary",39.71,2014.05.00,47.498382,19.040471
"Florence, Italy",39.03,2014.05.00,43.769871,11.255576
"Bristol, United Kingdom",38.87,2014.05.00,51.453802,-2.597298
"Nis, Serbia",38.84,2014.05.00,43.321504,21.89573
"Lyon, France",38.58,2014.05.00,45.757814,4.832011
"Bologna, Italy",38.41,2014.05.00,44.493671,11.343035
"Bratislava, Slovakia",38.12,2014.05.00,48.135909,17.159744
"Hamburg, Germany",37.59,2014.05.00,53.550341,10.000654
"Kaunas, Lithuania",37.45,2014.05.00,54.898214,23.904482
